NUTS_3,LAU1_NAT_CODE,LAU1_NAME,CHANGE,LAU2_NAT_CODE,NAME_1,NAME_2_LAT,POP,AREA
DK012,161,Glostrup,no,7147,Glostrup Sogn,,22461,13300000
DK012,165,Albertslund,no,7148,Herstedøster Sogn,,9671,9200000
DK012,187,Vallensbæk,no,7149,Vallensbæk Sogn,,15385,9500000
DK012,183,Ishøj,no,7150,Torslunde Sogn,,780,8200000
DK012,183,Ishøj,no,7151,Ishøj Sogn,,21578,18200000
DK012,169,Høje-Taastrup,no,7152,Høje Tåstrup Sogn,,11695,9400000
DK012,169,Høje-Taastrup,no,7153,Tåstrup Nykirke Sogn,,15054,9000000
DK013,190,Furesø,no,7154,Værløse Sogn,,16003,30600000
DK012,165,Albertslund,no,7155,Herstedvester Sogn,,9022,10600000
DK021,265,Roskilde,no,7156,Roskilde Domsogn,,19427,10700000
DK021,265,Roskilde,no,7157,Roskilde Søndre Sogn,,8695,3700000
DK021,265,Roskilde,no,7158,Vor Frue Sogn,,1333,17000000
DK021,265,Roskilde,no,7159,Sankt Jørgensbjerg Sogn,,10602,12200000
DK021,265,Roskilde,no,7160,Himmelev Sogn,,12684,18500000
DK021,265,Roskilde,no,7161,Hvedstrup Sogn,,618,10900000
DK012,169,Høje-Taastrup,no,7162,Fløng Sogn,,4435,11700000
DK021,350,Lejre,no,7163,Herslev Sogn,,623,16800000
DK021,350,Lejre,no,7164,Gevninge Sogn,,2006,9100000
DK021,350,Lejre,no,7165,Kornerup Sogn,,222,5200000
DK021,265,Roskilde,no,7166,Svogerslev Sogn,,4414,7100000
DK021,265,Roskilde,no,7167,Ågerup Sogn,,2188,12400000
DK021,265,Roskilde,no,7168,Kirkerup Sogn,,760,16300000
DK021,265,Roskilde,no,7169,Jyllinge Sogn,,10177,8600000
DK021,265,Roskilde,no,7170,Gundsømagle Sogn,,2837,15200000
DK021,350,Lejre,no,7171,Osted Sogn,,2630,15800000
DK021,350,Lejre,no,7172,Allerslev Sogn,,1396,17500000
DK021,350,Lejre,no,7173,Kirke Hvalsø Sogn,,4464,19800000
DK021,350,Lejre,no,7174,Særløse Sogn,,590,15900000
DK021,350,Lejre,no,7175,Kirke Saaby Sogn,,2888,25600000
DK021,350,Lejre,no,7176,Kisserup Sogn,,223,10800000
DK021,350,Lejre,no,7177,Rye Sogn,,2583,19400000
DK021,350,Lejre,no,7178,Kirke Sonnerup Sogn,,1473,12200000
DK021,350,Lejre,no,7179,Kirke Hyllinge Sogn,,2885,16800000
DK021,350,Lejre,no,7180,Lyndby Sogn,,1126,11100000
DK021,350,Lejre,no,7181,Sæby Sogn,,1086,15900000
DK021,350,Lejre,no,7182,Gershøj Sogn,,486,4200000
DK012,169,Høje-Taastrup,no,7184,Sengeløse Sogn,,2658,26100000
DK013,240,Egedal,no,7185,Ledøje Sogn,,991,10500000
DK013,240,Egedal,no,7186,Smørum Sogn,,10365,20900000
DK012,151,Ballerup,no,7187,Ballerup Sogn,,14061,12000000
DK012,151,Ballerup,no,7188,Måløv Sogn,,8944,7200000
DK012,151,Ballerup,no,7189,Skovlunde Sogn,,12977,7900000
DK011,185,Tårnby,no,7190,Tårnby Sogn,,10546,18300000
DK011,185,Tårnby,no,7191,Kastrup Sogn,,10233,22100000
DK011,155,Dragør,no,7192,Store Magleby Sogn,,9922,16500000
DK011,155,Dragør,no,7193,Dragør Sogn,,4173,1800000
DK021,253,Greve,no,7194,Greve Sogn,,10889,14900000
DK021,253,Greve,no,7195,Kildebrønde Sogn,,18081,15300000
DK012,169,Høje-Taastrup,no,7196,Reerslev Sogn,,1819,12300000
DK021,265,Roskilde,no,7197,Vindinge Sogn,,2708,11800000
DK021,265,Roskilde,no,7198,Snoldelev Sogn,,1378,16600000
DK021,253,Greve,no,7199,Tune Sogn,,5483,14000000
DK021,253,Greve,no,7200,Karlslunde Sogn,,2853,8900000
DK021,269,Solrød,no,7201,Karlstrup Sogn,,1910,6900000
DK021,269,Solrød,no,7202,Havdrup Sogn,,4309,7200000
DK021,269,Solrød,no,7203,Solrød Sogn,,8911,10100000
DK021,269,Solrød,no,7204,Jersie Sogn,,6354,9600000
DK021,269,Solrød,no,7205,Kirke Skensved Sogn,,300,6300000
DK021,259,Køge,no,7206,Køge Sogn,,9429,8500000
DK021,259,Køge,no,7207,Ølsemagle Sogn,,4666,8900000
DK021,350,Lejre,no,7208,Rorup Sogn,,1476,5600000
DK021,350,Lejre,no,7209,Glim Sogn,,1106,17300000
DK021,265,Roskilde,no,7210,Gadstrup Sogn,,2123,13600000
DK021,265,Roskilde,no,7211,Syv Sogn,,4006,12100000
DK021,265,Roskilde,no,7212,Ørsted Sogn,,424,11300000
DK021,265,Roskilde,no,7213,Dåstrup Sogn,,1650,13900000
DK021,259,Køge,no,7214,Borup Sogn,,3859,30200000
DK021,259,Køge,no,7215,Kimmerslev Sogn,,367,5600000
DK021,259,Køge,no,7216,Ejby Sogn,,3792,20900000
DK021,259,Køge,no,7217,Nørre Dalby Sogn,,1998,13300000
DK021,259,Køge,no,7218,Højelse Sogn,,8008,27100000
DK022,326,Kalundborg,no,7219,Ubby Sogn,,1981,26600000
DK022,326,Kalundborg,no,7220,Svallerup Sogn,,1172,22900000
DK022,326,Kalundborg,no,7221,Store Fuglede Sogn,,463,12600000
