NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA,,,,,,,,,,,,,,,,,DEGURBA,COASTAL,URAU_CITY_ID,URAU_CITY_NAME,URAU_KERNEL_ID,URAU_KERNEL_NAME,URAU_FUA_ID,URAU_FUA_NAME,GRD_POPL,URB_CLST_GRD_POPL,HDENS_CLST_GRD_POPL
IE024,01,01050,no,Coonogue,Coonogue,n.a,1523000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01051,no,Glynn,Glynn,n.a,2265000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01052,no,Kyle,Kyle,n.a,1684000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01053,no,Marley,Marley,n.a,1536000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01054,no,Tinnahinch,Tinnahinch,n.a,1375000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE021,01,02001,no,Arran Quay A,Arran Quay A,n.a,14000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02002,no,Arran Quay B,Arran Quay B,n.a,72000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02003,no,Arran Quay C,Arran Quay C,n.a,38000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02004,no,Arran Quay D,Arran Quay D,n.a,34000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02005,no,Arran Quay E,Arran Quay E,n.a,26000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02006,no,Ashtown A,Ashtown A,n.a,200000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02007,no,Ashtown B,Ashtown B,n.a,58000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02008,no,Ayrfield,Ayrfield,n.a,93000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02009,no,Ballybough A,Ballybough A,n.a,37000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02010,no,Ballybough B,Ballybough B,n.a,34000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02011,no,Ballygall A,Ballygall A,n.a,49000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02012,no,Ballygall B,Ballygall B,n.a,57000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02013,no,Ballygall C,Ballygall C,n.a,101000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02014,no,Ballygall D,Ballygall D,n.a,42000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
