NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA,
HR04B,,01104,no,Erdut,Erdut,7372,n.a.,
HR04B,,01112,no,Ernestinovo,Ernestinovo,2186,n.a.,
HR034,,01139,no,Ervenik,Ervenik,1204,n.a.,
HR042,,01147,no,Farkaševac,Farkaševac,1913,n.a.,
HR045,,01155,no,Ferdinandovac,Ferdinandovac,1732,n.a.,
HR04B,,01163,no,Feričanci,Feričanci,2144,n.a.,
HR031,,01171,no,Fužine,Fužine,1595,n.a.,
HR04A,,01180,no,Garčin,Garčin,4779,n.a.,
HR047,,01198,no,Garešnica,Garešnica,10466,n.a.,
HR04D,,01201,no,Generalski Stol,Generalski Stol,2642,n.a.,
HR04E,,01210,no,Glina,Glina,4667,n.a.,
HR045,,01228,no,Gola,Gola,2416,n.a.,
HR046,,01236,no,Goričan,Goričan,2851,n.a.,
HR04B,,01244,no,Gorjani,Gorjani,1587,n.a.,
HR043,,01252,no,Gornja Stubica,Gornja Stubica,5237,n.a.,
HR04A,,01279,no,Gornji Bogićevci,Gornji Bogićevci,1931,n.a.,
HR044,,01295,no,Gornji Kneginec,Gornji Kneginec,5359,n.a.,
HR032,,01309,no,Gospić,Gospić,6561,n.a.,
HR033,,01317,no,Gračac,Gračac,5033,n.a.,
HR036,,01325,no,Gračišće,Gračišće,1408,n.a.,
HR041,,01333,no,Grad Zagreb,Grad Zagreb,792875,n.a.,
HR035,,01341,no,Gradac,Gradac,3308,n.a.,
HR042,,01350,no,Gradec,Gradec,3697,n.a.,
HR048,,01368,no,Gradina,Gradina,3825,n.a.,
HR04C,,01376,no,Gradište,Gradište,2769,n.a.,
HR036,,01384,no,Grožnjan - Grisignana,Grožnjan - Grisignana,733,n.a.,
HR047,,01392,no,Grubišno Polje,Grubišno Polje,6431,n.a.,
HR04A,,01406,no,Gundinci,Gundinci,2018,n.a.,
HR04C,,01414,no,Gunja,Gunja,3707,n.a.,
HR047,,01449,no,Hercegovac,Hercegovac,2367,n.a.,
HR045,,01457,no,Hlebine,Hlebine,1302,n.a.,
HR043,,01465,no,Hrašćina,Hrašćina,1603,n.a.,
HR035,,01481,no,Hrvace,Hrvace,3653,n.a.,
HR04E,,01490,no,Hrvatska Dubica,Hrvatska Dubica,2073,n.a.,
HR04E,,01503,no,Hrvatska Kostajnica,Hrvatska Kostajnica,2130,n.a.,
