LAU2_NAT_CODE,NAME_1,NUTS_3,POP,AREA
1032,Lyngdal,NO042,7533,390970
1034,Hægebostad,NO042,1597,461580
1037,Kvinesdal,NO042,5629,962840
1046,Sirdal,NO042,1757,1554720
1101,Eigersund,NO043,13778,432460
1102,Sandnes,NO043,62037,304540
1103,Stavanger,NO043,119586,71400
1106,Haugesund,NO043,32956,72700
1111,Sokndal,NO043,3242,295160
1112,Lund,NO043,3112,408510
1114,Bjerkreim,NO043,2539,650430
1119,Hå,NO043,15438,258700
1120,Klepp,NO043,15839,113920
1121,Time,NO043,15459,183430
1122,Gjesdal,NO043,9729,617550
1124,Sola,NO043,21446,69530
1127,Randaberg,NO043,9622,24630
1129,Forsand,NO043,1116,780210
1130,Strand,NO043,10894,218170
1133,Hjelmeland,NO043,2678,1089440
1134,Suldal,NO043,3823,1736190
1135,Sauda,NO043,4734,546340
1141,Finnøy,NO043,2711,104340
1142,Rennesøy,NO043,3761,65300
1144,Kvitsøy,NO043,538,6160
1145,Bokn,NO043,823,47160
1146,Tysvær,NO043,9604,425290
1149,Karmøy,NO043,38926,229500
1151,Utsira,NO043,212,6290
1160,Vindafjord,NO043,8084,620390
1201,Bergen,NO051,252051,465450
1211,Etne,NO051,3852,735420
1216,Sveio,NO051,4825,245740
1219,Bømlo,NO051,10998,246310
1221,Stord,NO051,17092,143550
1222,Fitjar,NO051,2912,142790
1223,Tysnes,NO051,2773,255180
1224,Kvinnherad,NO051,13063,1127870
1227,Jondal,NO051,1047,209940
1228,Odda,NO051,7107,1615950
1231,Ullensvang,NO051,3415,1398850
1232,Eidfjord,NO051,933,1492550
1233,Ulvik,NO051,1107,720730
1234,Granvin,NO051,964,212580
1235,Voss,NO051,13768,1805770
1238,Kvam,NO051,8210,615930
1241,Fusa,NO051,3759,378960
1242,Samnanger,NO051,2396,269140
1243,Os,NO051,16055,139810
1244,Austevoll,NO051,4390,117220
1245,Sund,NO051,5795,99690
1246,Fjell,NO051,21207,148100
1247,Askøy,NO051,23705,100440
1251,Vaksdal,NO051,4106,715650
1252,Modalen,NO051,360,412150
1253,Osterøy,NO051,7305,274600
1256,Meland,NO051,6233,92540
1259,Øygarden,NO051,4168,66520
1260,Radøy,NO051,4794,111830
1263,Lindås,NO051,13778,475920
1264,Austrheim,NO051,2569,57440
1265,Fedje,NO051,596,9320
1266,Masfjorden,NO051,1646,556500
1401,Flora,NO052,11408,692450
1411,Gulen,NO052,2356,597120
1412,Solund,NO052,874,228510
1413,Hyllestad,NO052,1505,259050
1416,Høyanger,NO052,4374,908330
1417,Vik,NO052,2809,832930
1418,Balestrand,NO052,1365,429850
1419,Leikanger,NO052,2179,180020
1420,Sogndal,NO052,6899,745970
1421,Aurland,NO052,1695,1467920
1422,Lærdal,NO052,2169,1342400
1424,Årdal,NO052,5562,976420
1426,Luster,NO052,4870,2706630
1428,Askvoll,NO052,3065,326460
1429,Fjaler,NO052,2849,416670
1430,Gaular,NO052,2748,581970
1431,Jølster,NO052,2929,670830
1432,Førde,NO052,11650,586040
1433,Naustdal,NO052,2668,368690
1438,Bremanger,NO052,3894,832830
1439,Vågsøy,NO052,5998,176380
1441,Selje,NO052,2872,226090
1443,Eid,NO052,5854,469110
1444,Hornindal,NO052,1211,191610
1445,Gloppen,NO052,5687,1027730
1449,Stryn,NO052,6769,1380780
1502,Molde,NO053,24294,362600
1504,Ålesund,NO053,41833,98420
1505,Kristiansund,NO053,22661,461030
1511,Vanylven,NO053,3530,385080
1514,Sande,NO053,2502,93180
1515,Herøy,NO053,8353,119710
1516,Ulstein,NO053,6946,97280
1517,Hareid,NO053,4741,82480
1519,Volda,NO053,8406,547300
1520,Ørsta,NO053,10163,804840
1523,Ørskog,NO053,2119,129460
1524,Norddal,NO053,1761,943520
1525,Stranda,NO053,4543,865980
1526,Stordal,NO053,979,247190
1528,Sykkylven,NO053,7491,337680
1529,Skodje,NO053,3750,120250
1531,Sula,NO053,7626,58650
1532,Giske,NO053,6777,40090
1534,Haram,NO053,8617,260450
1535,Vestnes,NO053,6434,354930
1539,Rauma,NO053,7379,1502140
1543,Nesset,NO053,3061,1046220
1545,Midsund,NO053,1901,94710
1546,Sandøy,NO053,1281,20410
1547,Aukra,NO053,3174,58780
1548,Fræna,NO053,9189,368960
1551,Eide,NO053,3362,152380
1554,Averøy,NO053,5402,175910
1557,Gjemnes,NO053,2636,382180
1560,Tingvoll,NO053,3082,336950
1563,Sunndal,NO053,7357,1713690
1566,Surnadal,NO053,6039,1364780
1567,Rindal,NO053,2045,640670
1571,Halsa,NO053,1671,300840
1573,Smøla,NO053,2137,281850
1576,Aure,NO053,3530,644180
1601,Trondheim,NO061,165191,342240
1612,Hemne,NO061,4234,662370
1613,Snillfjord,NO061,1022,508200
1617,Hitra,NO061,4132,685430
1620,Frøya,NO061,4144,241310
1621,Ørland,NO061,5025,73510
1622,Agdenes,NO061,1758,317650
1624,Rissa,NO061,6366,621460
1627,Bjugn,NO061,4604,383780
1630,Åfjord,NO061,3232,953710
1632,Roan,NO061,1007,376680
1633,Osen,NO061,1041,387090
1634,Oppdal,NO061,6564,2274420
1635,Rennebu,NO061,2594,948110
1636,Meldal,NO061,3871,612500
1638,Orkdal,NO061,11018,594220
1640,Røros,NO061,5620,1956310
1644,Holtålen,NO061,2069,1209320
1648,Midtre Gauldal,NO061,5910,1859760
1653,Melhus,NO061,14457,696060
1657,Skaun,NO061,6326,224240
1662,Klæbu,NO061,5558,186360
1663,Malvik,NO061,12388,168550
1664,Selbu,NO061,4006,1234830
1665,Tydal,NO061,856,1329410
1702,Steinkjer,NO062,20672,1564260
1703,Namsos,NO062,12607,774510
1711,Meråker,NO062,2506,1273610
1714,Stjørdal,NO062,20616,937870
1717,Frosta,NO062,2466,76340
1718,Leksvik,NO062,3484,430220
1719,Levanger,NO062,18355,645350
