LAU1_NAT_CODE,LAU2_NAT_CODE,NAME_1
LI-1,9491,Ruggell
LI-1,9488,Schellenberg
LI-1,9487,Gamprin
LI-1,9492,Eschen
LI-1,9493,Mauren
LI-2,9494,Schaan
LI-2,9498,Planken
LI-2,9490,Vaduz
LI-2,9497,Triesenberg
LI-2,9495,Triesen
LI-2,9496,Balzers
