Type,Scope,Prefix,Tag,Subtag,Suppress-Script,Description,Macrolanguage,Added,Deprecated,Preferred-Value,Comments
language,macrolanguage,,,lv,Latn,Latvian,,10/16/2005,,,
language,macrolanguage,,,mg,Latn,Malagasy,,10/16/2005,,,
language,,,,mh,Latn,Marshallese,,10/16/2005,,,
language,,,,mi,,Maori,,10/16/2005,,,
language,,,,mk,Cyrl,Macedonian,,10/16/2005,,,
language,,,,ml,Mlym,Malayalam,,10/16/2005,,,
language,macrolanguage,,,mn,,Mongolian,,10/16/2005,,,
language,,,,mo,Latn,"Moldavian, Moldovan",,10/16/2005,2008-11-22,ro,
language,,,,mr,Deva,Marathi,,10/16/2005,,,
language,macrolanguage,,,ms,Latn,Malay (macrolanguage),,10/16/2005,,,
language,,,,mt,Latn,Maltese,,10/16/2005,,,
language,,,,my,Mymr,Burmese,,10/16/2005,,,
language,,,,na,Latn,Nauru,,10/16/2005,,,
language,,,,nb,Latn,Norwegian Bokmål,no,10/16/2005,,,
language,,,,nd,Latn,North Ndebele,,10/16/2005,,,
language,macrolanguage,,,ne,Deva,Nepali (macrolanguage),,10/16/2005,,,
language,,,,ng,,Ndonga,,10/16/2005,,,
language,,,,nl,Latn,"Dutch, Flemish",,10/16/2005,,,
language,,,,nn,Latn,Norwegian Nynorsk,no,10/16/2005,,,
language,macrolanguage,,,no,Latn,Norwegian,,10/16/2005,,,
language,,,,nr,Latn,South Ndebele,,10/16/2005,,,
language,,,,nv,,"Navajo, Navaho",,10/16/2005,,,
language,,,,ny,Latn,"Nyanja, Chewa, Chichewa",,10/16/2005,,,
language,,,,oc,,Occitan (post 1500),,10/16/2005,,,
language,macrolanguage,,,oj,,Ojibwa,,10/16/2005,,,
language,macrolanguage,,,om,Latn,Oromo,,10/16/2005,,,
language,macrolanguage,,,or,Orya,"Oriya (macrolanguage), Odia (macrolanguage)",,10/16/2005,,,
language,,,,os,,"Ossetian, Ossetic",,10/16/2005,,,
language,,,,pa,Guru,"Panjabi, Punjabi",,10/16/2005,,,
language,,,,pi,,Pali,,10/16/2005,,,
language,,,,pl,Latn,Polish,,10/16/2005,,,
language,macrolanguage,,,ps,Arab,"Pushto, Pashto",,10/16/2005,,,
language,,,,pt,Latn,Portuguese,,10/16/2005,,,
language,macrolanguage,,,qu,Latn,Quechua,,10/16/2005,,,
language,,,,rm,Latn,Romansh,,10/16/2005,,,
language,,,,rn,Latn,Rundi,,10/16/2005,,,
language,,,,ro,Latn,"Romanian, Moldavian, Moldovan",,10/16/2005,,,
language,,,,ru,Cyrl,Russian,,10/16/2005,,,
language,,,,rw,Latn,Kinyarwanda,,10/16/2005,,,
language,,,,sa,,Sanskrit,,10/16/2005,,,
language,macrolanguage,,,sc,,Sardinian,,10/16/2005,,,
language,,,,sd,,Sindhi,,10/16/2005,,,
language,,,,se,,Northern Sami,,10/16/2005,,,
language,,,,sg,Latn,Sango,,10/16/2005,,,
language,macrolanguage,,,sh,,Serbo-Croatian,,10/16/2005,,,"sr, hr, bs are preferred for most modern uses"
language,,,,si,Sinh,"Sinhala, Sinhalese",,10/16/2005,,,
language,,,,sk,Latn,Slovak,,10/16/2005,,,
language,,,,sl,Latn,Slovenian,,10/16/2005,,,
language,,,,sm,Latn,Samoan,,10/16/2005,,,
language,,,,sn,,Shona,,10/16/2005,,,
language,,,,so,Latn,Somali,,10/16/2005,,,
language,macrolanguage,,,sq,Latn,Albanian,,10/16/2005,,,
language,,,,sr,,Serbian,sh,10/16/2005,,,
language,,,,ss,Latn,Swati,,10/16/2005,,,
language,,,,st,Latn,Southern Sotho,,10/16/2005,,,
language,,,,su,,Sundanese,,10/16/2005,,,
language,,,,sv,Latn,Swedish,,10/16/2005,,,
language,macrolanguage,,,sw,Latn,Swahili (macrolanguage),,10/16/2005,,,
language,,,,ta,Taml,Tamil,,10/16/2005,,,
language,,,,te,Telu,Telugu,,10/16/2005,,,
language,,,,tg,,Tajik,,10/16/2005,,,
language,,,,th,Thai,Thai,,10/16/2005,,,
language,,,,ti,Ethi,Tigrinya,,10/16/2005,,,
language,,,,tk,,Turkmen,,10/16/2005,,,
language,,,,tl,Latn,Tagalog,,10/16/2005,,,
language,,,,tn,Latn,Tswana,,10/16/2005,,,
language,,,,to,Latn,Tonga (Tonga Islands),,10/16/2005,,,
language,,,,tr,Latn,Turkish,,10/16/2005,,,
language,,,,ts,Latn,Tsonga,,10/16/2005,,,
language,,,,tt,,Tatar,,10/16/2005,,,
language,,,,tw,,Twi,ak,10/16/2005,,,
language,,,,ty,,Tahitian,,10/16/2005,,,
language,,,,ug,,"Uighur, Uyghur",,10/16/2005,,,
language,,,,uk,Cyrl,Ukrainian,,10/16/2005,,,
language,,,,ur,Arab,Urdu,,10/16/2005,,,
language,macrolanguage,,,uz,,Uzbek,,10/16/2005,,,
language,,,,ve,Latn,Venda,,10/16/2005,,,
language,,,,vi,Latn,Vietnamese,,10/16/2005,,,
language,,,,vo,,Volapük,,10/16/2005,,,
language,,,,wa,,Walloon,,10/16/2005,,,
language,,,,wo,,Wolof,,10/16/2005,,,
language,,,,xh,Latn,Xhosa,,10/16/2005,,,
language,macrolanguage,,,yi,Hebr,Yiddish,,10/16/2005,,,
language,,,,yo,,Yoruba,,10/16/2005,,,
language,macrolanguage,,,za,,"Zhuang, Chuang",,10/16/2005,,,
language,macrolanguage,,,zh,,Chinese,,10/16/2005,,,
language,,,,zu,Latn,Zulu,,10/16/2005,,,
language,,,,aaa,,Ghotuo,,7/29/2009,,,
language,,,,aab,,Alumu-Tesu,,7/29/2009,,,
language,,,,aac,,Ari,,7/29/2009,,,
language,,,,aad,,Amal,,7/29/2009,,,
language,,,,aae,,Arbëreshë Albanian,sq,7/29/2009,,,
language,,,,aaf,,Aranadan,,7/29/2009,,,
language,,,,aag,,Ambrak,,7/29/2009,,,
language,,,,aah,,Abu' Arapesh,,7/29/2009,,,
language,,,,aai,,Arifama-Miniafia,,7/29/2009,,,
language,,,,aak,,Ankave,,7/29/2009,,,
language,,,,aal,,Afade,,7/29/2009,,,
language,,,,aam,,Aramanik,,7/29/2009,2015-02-12,aas,
language,,,,aan,,Anambé,,7/29/2009,,,
language,,,,aao,,Algerian Saharan Arabic,ar,7/29/2009,,,
language,,,,aap,,Pará Arára,,7/29/2009,,,
language,,,,aaq,,Eastern Abnaki,,7/29/2009,,,
language,,,,aas,,Aasáx,,7/29/2009,,,
language,,,,aat,,Arvanitika Albanian,sq,7/29/2009,,,
language,,,,aau,,Abau,,7/29/2009,,,
language,collection,,,aav,,Austro-Asiatic languages,,7/29/2009,,,
language,,,,aaw,,Solong,,7/29/2009,,,
language,,,,aax,,Mandobo Atas,,7/29/2009,,,
language,,,,aaz,,Amarasi,,7/29/2009,,,
language,,,,aba,,Abé,,7/29/2009,,,
language,,,,abb,,Bankon,,7/29/2009,,,
language,,,,abc,,Ambala Ayta,,7/29/2009,,,
language,,,,abd,,Manide,,7/29/2009,,,
language,,,,abe,,Western Abnaki,,7/29/2009,,,
language,,,,abf,,Abai Sungai,,7/29/2009,,,
language,,,,abg,,Abaga,,7/29/2009,,,
language,,,,abh,,Tajiki Arabic,ar,7/29/2009,,,
language,,,,abi,,Abidji,,7/29/2009,,,
language,,,,abj,,Aka-Bea,,7/29/2009,,,
language,,,,abl,,Lampung Nyo,,7/29/2009,,,
language,,,,abm,,Abanyom,,7/29/2009,,,
language,,,,abn,,Abua,,7/29/2009,,,
language,,,,abo,,Abon,,7/29/2009,,,
language,,,,abp,,Abellen Ayta,,7/29/2009,,,
language,,,,abq,,Abaza,,7/29/2009,,,
language,,,,abr,,Abron,,7/29/2009,,,
language,,,,abs,,Ambonese Malay,,7/29/2009,,,
language,,,,abt,,Ambulas,,7/29/2009,,,
language,,,,abu,,Abure,,7/29/2009,,,
language,,,,abv,,Baharna Arabic,ar,7/29/2009,,,
language,,,,abw,,Pal,,7/29/2009,,,
language,,,,abx,,Inabaknon,,7/29/2009,,,
language,,,,aby,,Aneme Wake,,7/29/2009,,,
language,,,,abz,,Abui,,7/29/2009,,,
language,,,,aca,,Achagua,,7/29/2009,,,
language,,,,acb,,Áncá,,7/29/2009,,,
language,,,,acd,,Gikyode,,7/29/2009,,,
language,,,,ace,,Achinese,,10/16/2005,,,
language,,,,acf,,Saint Lucian Creole French,,7/29/2009,,,
language,,,,ach,,Acoli,,10/16/2005,,,
language,,,,aci,,Aka-Cari,,7/29/2009,,,
language,,,,ack,,Aka-Kora,,7/29/2009,,,
language,,,,acl,,Akar-Bale,,7/29/2009,,,
language,,,,acm,,Mesopotamian Arabic,ar,7/29/2009,,,
language,,,,acn,,Achang,,7/29/2009,,,
language,,,,acp,,Eastern Acipa,,7/29/2009,,,
language,,,,acq,,Ta'izzi-Adeni Arabic,ar,7/29/2009,,,
language,,,,acr,,Achi,,7/29/2009,,,
language,,,,acs,,Acroá,,7/29/2009,,,
language,,,,act,,Achterhoeks,,7/29/2009,,,
language,,,,acu,,Achuar-Shiwiar,,7/29/2009,,,
language,,,,acv,,Achumawi,,7/29/2009,,,
language,,,,acw,,Hijazi Arabic,ar,7/29/2009,,,
language,,,,acx,,Omani Arabic,ar,7/29/2009,,,
language,,,,acy,,Cypriot Arabic,ar,7/29/2009,,,
language,,,,acz,,Acheron,,7/29/2009,,,
language,,,,ada,,Adangme,,10/16/2005,,,
language,,,,adb,,Adabe,,7/29/2009,,,
language,,,,add,,Dzodinka,,7/29/2009,,,
language,,,,ade,,Adele,,7/29/2009,,,
language,,,,adf,,Dhofari Arabic,ar,7/29/2009,,,
language,,,,adg,,Andegerebinha,,7/29/2009,,,
language,,,,adh,,Adhola,,7/29/2009,,,
language,,,,adi,,Adi,,7/29/2009,,,
language,,,,adj,,Adioukrou,,7/29/2009,,,
language,,,,adl,,Galo,,7/29/2009,,,
language,,,,adn,,Adang,,7/29/2009,,,
language,,,,ado,,Abu,,7/29/2009,,,
language,,,,adp,,Adap,,7/29/2009,2015-02-12,dz,
language,,,,adq,,Adangbe,,7/29/2009,,,
language,,,,adr,,Adonara,,7/29/2009,,,
language,,,,ads,,Adamorobe Sign Language,,7/29/2009,,,
language,,,,adt,,Adnyamathanha,,7/29/2009,,,
language,,,,adu,,Aduge,,7/29/2009,,,
language,,,,adw,,Amundava,,7/29/2009,,,
language,,,,adx,,Amdo Tibetan,,7/29/2009,,,
language,,,,ady,,"Adyghe, Adygei",,10/16/2005,,,
language,,,,adz,,Adzera,,7/29/2009,,,
language,,,,aea,,Areba,,7/29/2009,,,
language,,,,aeb,,Tunisian Arabic,ar,7/29/2009,,,
language,,,,aec,,Saidi Arabic,ar,7/29/2009,,,
language,,,,aed,,Argentine Sign Language,,7/29/2009,,,
language,,,,aee,,"Northeast Pashai, Northeast Pashayi",,7/29/2009,,,
language,,,,aek,,Haeke,,7/29/2009,,,
language,,,,ael,,Ambele,,7/29/2009,,,
language,,,,aem,,Arem,,7/29/2009,,,
language,,,,aen,,Armenian Sign Language,,7/29/2009,,,
language,,,,aeq,,Aer,,7/29/2009,,,
language,,,,aer,,Eastern Arrernte,,7/29/2009,,,
language,,,,aes,,Alsea,,7/29/2009,,,
language,,,,aeu,,Akeu,,7/29/2009,,,
language,,,,aew,,Ambakich,,7/29/2009,,,
language,,,,aey,,Amele,,7/29/2009,,,
language,,,,aez,,Aeka,,7/29/2009,,,
language,collection,,,afa,,Afro-Asiatic languages,,10/16/2005,,,
language,,,,afb,,Gulf Arabic,ar,7/29/2009,,,
language,,,,afd,,Andai,,7/29/2009,,,
language,,,,afe,,Putukwam,,7/29/2009,,,
language,,,,afg,,Afghan Sign Language,,7/29/2009,,,
language,,,,afh,,Afrihili,,10/16/2005,,,
language,,,,afi,,"Akrukay, Chini",,7/29/2009,,,
language,,,,afk,,Nanubae,,7/29/2009,,,
language,,,,afn,,Defaka,,7/29/2009,,,
language,,,,afo,,Eloyi,,7/29/2009,,,
language,,,,afp,,Tapei,,7/29/2009,,,
language,,,,afs,,Afro-Seminole Creole,,7/29/2009,,,
language,,,,aft,,Afitti,,7/29/2009,,,
language,,,,afu,,Awutu,,7/29/2009,,,
language,,,,afz,,Obokuitai,,7/29/2009,,,
language,,,,aga,,Aguano,,7/29/2009,,,
language,,,,agb,,Legbo,,7/29/2009,,,
language,,,,agc,,Agatu,,7/29/2009,,,
language,,,,agd,,Agarabi,,7/29/2009,,,
language,,,,age,,Angal,,7/29/2009,,,
language,,,,agf,,Arguni,,7/29/2009,,,
language,,,,agg,,Angor,,7/29/2009,,,
language,,,,agh,,Ngelima,,7/29/2009,,,
language,,,,agi,,Agariya,,7/29/2009,,,
language,,,,agj,,Argobba,,7/29/2009,,,
language,,,,agk,,Isarog Agta,,7/29/2009,,,
language,,,,agl,,Fembe,,7/29/2009,,,
language,,,,agm,,Angaataha,,7/29/2009,,,
language,,,,agn,,Agutaynen,,7/29/2009,,,
language,,,,ago,,Tainae,,7/29/2009,,,
language,,,,agp,,Paranan,,7/29/2009,2010-03-11,,"see apf, prf"
language,,,,agq,,Aghem,,7/29/2009,,,
language,,,,agr,,Aguaruna,,7/29/2009,,,
language,,,,ags,,Esimbi,,7/29/2009,,,
language,,,,agt,,Central Cagayan Agta,,7/29/2009,,,
language,,,,agu,,Aguacateco,,7/29/2009,,,
language,,,,agv,,Remontado Dumagat,,7/29/2009,,,
language,,,,agw,,Kahua,,7/29/2009,,,
language,,,,agx,,Aghul,,7/29/2009,,,
language,,,,agy,,Southern Alta,,7/29/2009,,,
language,,,,agz,,Mt. Iriga Agta,,7/29/2009,,,
language,,,,aha,,Ahanta,,7/29/2009,,,
language,,,,ahb,,Axamb,,7/29/2009,,,
language,,,,ahg,,Qimant,,7/29/2009,,,
language,,,,ahh,,Aghu,,7/29/2009,,,
language,,,,ahi,,Tiagbamrin Aizi,,7/29/2009,,,
language,,,,ahk,,Akha,,7/29/2009,,,
language,,,,ahl,,Igo,,7/29/2009,,,
language,,,,ahm,,Mobumrin Aizi,,7/29/2009,,,
language,,,,ahn,,Àhàn,,7/29/2009,,,
language,,,,aho,,Ahom,,7/29/2009,,,
language,,,,ahp,,Aproumu Aizi,,7/29/2009,,,
language,,,,ahr,,Ahirani,,7/29/2009,,,
language,,,,ahs,,Ashe,,7/29/2009,,,
language,,,,aht,,Ahtena,,7/29/2009,,,
language,,,,aia,,Arosi,,7/29/2009,,,
language,,,,aib,,Ainu (China),,7/29/2009,,,
language,,,,aic,,Ainbai,,7/29/2009,,,
language,,,,aid,,Alngith,,7/29/2009,,,
language,,,,aie,,Amara,,7/29/2009,,,
language,,,,aif,,Agi,,7/29/2009,,,
language,,,,aig,,Antigua and Barbuda Creole English,,7/29/2009,,,
language,,,,aih,,Ai-Cham,,7/29/2009,,,
language,,,,aii,,Assyrian Neo-Aramaic,syr,7/29/2009,,,
language,,,,aij,,Lishanid Noshan,,7/29/2009,,,
language,,,,aik,,Ake,,7/29/2009,,,
language,,,,ail,,Aimele,,7/29/2009,,,
language,,,,aim,,Aimol,,7/29/2009,,,
language,,,,ain,,Ainu (Japan),,10/16/2005,,,
language,,,,aio,,Aiton,,7/29/2009,,,
language,,,,aip,,Burumakok,,7/29/2009,,,
language,,,,aiq,,Aimaq,,7/29/2009,,,
language,,,,air,,Airoran,,7/29/2009,,,
language,,,,ais,,Nataoran Amis,,7/29/2009,,,
language,,,,ait,,Arikem,,7/29/2009,,,
language,,,,aiw,,Aari,,7/29/2009,,,
language,,,,aix,,Aighon,,7/29/2009,,,
language,,,,aiy,,Ali,,7/29/2009,,,
language,,,,aja,,Aja (Sudan),,7/29/2009,,,
language,,,,ajg,,Aja (Benin),,7/29/2009,,,
language,,,,aji,,Ajië,,7/29/2009,,,
language,,,,ajn,,Andajin,,8/12/2012,,,
language,,,,ajp,,South Levantine Arabic,ar,7/29/2009,,,
language,,,,ajt,,Judeo-Tunisian Arabic,jrb,7/29/2009,,,
language,,,,aju,,Judeo-Moroccan Arabic,jrb,7/29/2009,,,
language,,,,ajw,,Ajawa,,7/29/2009,,,
language,,,,ajz,,Amri Karbi,,7/29/2009,,,
language,,,,akb,,Batak Angkola,,7/29/2009,,,
language,,,,akc,,Mpur,,7/29/2009,,,
language,,,,akd,,Ukpet-Ehom,,7/29/2009,,,
language,,,,ake,,Akawaio,,7/29/2009,,,
language,,,,akf,,Akpa,,7/29/2009,,,
language,,,,akg,,Anakalangu,,7/29/2009,,,
language,,,,akh,,Angal Heneng,,7/29/2009,,,
language,,,,aki,,Aiome,,7/29/2009,,,
language,,,,akj,,Aka-Jeru,,7/29/2009,,,
language,,,,akk,,Akkadian,,10/16/2005,,,
language,,,,akl,,Aklanon,,7/29/2009,,,
language,,,,akm,,Aka-Bo,,7/29/2009,,,
language,,,,ako,,Akurio,,7/29/2009,,,
language,,,,akp,,Siwu,,7/29/2009,,,
language,,,,akq,,Ak,,7/29/2009,,,
language,,,,akr,,Araki,,7/29/2009,,,
language,,,,aks,,Akaselem,,7/29/2009,,,
language,,,,akt,,Akolet,,7/29/2009,,,
language,,,,aku,,Akum,,7/29/2009,,,
language,,,,akv,,Akhvakh,,7/29/2009,,,
language,,,,akw,,Akwa,,7/29/2009,,,
language,,,,akx,,Aka-Kede,,7/29/2009,,,
language,,,,aky,,Aka-Kol,,7/29/2009,,,
language,,,,akz,,Alabama,,7/29/2009,,,
language,,,,ala,,Alago,,7/29/2009,,,
language,,,,alc,,Qawasqar,,7/29/2009,,,
language,,,,ald,,Alladian,,7/29/2009,,,
language,,,,ale,,Aleut,,10/16/2005,,,
language,,,,alf,,Alege,,7/29/2009,,,
language,collection,,,alg,,Algonquian languages,,10/16/2005,,,
language,,,,alh,,Alawa,,7/29/2009,,,
language,,,,ali,,Amaimon,,7/29/2009,,,
language,,,,alj,,Alangan,,7/29/2009,,,
language,,,,alk,,Alak,,7/29/2009,,,
language,,,,all,,Allar,,7/29/2009,,,
language,,,,alm,,Amblong,,7/29/2009,,,
language,,,,aln,,Gheg Albanian,sq,7/29/2009,,,
language,,,,alo,,Larike-Wakasihu,,7/29/2009,,,
language,,,,alp,,Alune,,7/29/2009,,,
language,,,,alq,,Algonquin,,7/29/2009,,,
language,,,,alr,,Alutor,,7/29/2009,,,
language,,,,als,,Tosk Albanian,sq,7/29/2009,,,
language,,,,alt,,Southern Altai,,10/16/2005,,,
language,,,,alu,,Are'are,,7/29/2009,,,
language,collection,,,alv,,Atlantic-Congo languages,,7/29/2009,,,
language,,,,alw,,"Alaba-K’abeena, Wanbasana",,7/29/2009,,,
language,,,,alx,,Amol,,7/29/2009,,,
language,,,,aly,,Alyawarr,,7/29/2009,,,
language,,,,alz,,Alur,,7/29/2009,,,
language,,,,ama,,Amanayé,,7/29/2009,,,
language,,,,amb,,Ambo,,7/29/2009,,,
language,,,,amc,,Amahuaca,,7/29/2009,,,
language,,,,ame,,Yanesha',,7/29/2009,,,
language,,,,amf,,Hamer-Banna,,7/29/2009,,,
language,,,,amg,,Amurdak,,7/29/2009,,,
language,,,,ami,,Amis,,7/29/2009,,,
language,,,,amj,,Amdang,,7/29/2009,,,
language,,,,amk,,Ambai,,7/29/2009,,,
language,,,,aml,,War-Jaintia,,7/29/2009,,,
language,,,,amm,,Ama (Papua New Guinea),,7/29/2009,,,
language,,,,amn,,Amanab,,7/29/2009,,,
language,,,,amo,,Amo,,7/29/2009,,,
language,,,,amp,,Alamblak,,7/29/2009,,,
language,,,,amq,,Amahai,,7/29/2009,,,
language,,,,amr,,Amarakaeri,,7/29/2009,,,
language,,,,ams,,Southern Amami-Oshima,,7/29/2009,,,
language,,,,amt,,Amto,,7/29/2009,,,
language,,,,amu,,Guerrero Amuzgo,,7/29/2009,,,
language,,,,amv,,Ambelau,,7/29/2009,,,
language,,,,amw,,Western Neo-Aramaic,,7/29/2009,,,
language,,,,amx,,Anmatyerre,,7/29/2009,,,
language,,,,amy,,Ami,,7/29/2009,,,
language,,,,amz,,Atampaya,,7/29/2009,,,
language,,,,ana,,Andaqui,,7/29/2009,,,
language,,,,anb,,Andoa,,7/29/2009,,,
language,,,,anc,,Ngas,,7/29/2009,,,
language,,,,and,,Ansus,,7/29/2009,,,
