Jurisd,Local name,Lang,English Name,Count,Register,Notation,Code,Parent code,,,,
BE,"Société coopérative à responsabilité illimitée et solidaire, société coopérative de participation",,,3,,,,,,,,
BE,Autre forme à finalité sociale de droit public,,,2,,,,,,,,
BE,Groupement d'intérêt économique à finalité sociale,,,2,,,,,,,,
BE,Ministère de la Région de Bruxelles-Capitale,,,2,,,,,,,,
BE,Ministère des Finances,,,2,,,,,,,,
BE,Organisme immatriculé par l'ONSS-APL,,,2,,,,,,,,
BE,Société privée à responsabilité limitée unipersonnelle à finalité sociale,,,2,,,,,,,,
BE,Association d'assurances mutuelles de droit public,,,1,,,,,,,,
BE,"Coopérative à responsabilité illimitée, coopérative de participation, de droit public",,,1,,,,,,,,
BE,Institution sans but lucratif,,,1,,,,,,,,
BE,Ministère de l'Agriculture,,,1,,,,,,,,
BE,Ministère de la Défense,,,1,,,,,,,,
BE,"Ministère des Affaires sociales, de la Santé publique et de l'Environnement",,,1,,,,,,,,
BE,"Ministère des Affaires étrangères, Commerce extérieur et Coopération au Développement",,,1,,,,,,,,
BE,Ministère des Classes moyennes,,,1,,,,,,,,
BE,Ministère des Communications,,,1,,,,,,,,
BE,Ministère des Communications et de l'Infrastructure,,,1,,,,,,,,
BE,Monts-de-Piété,,,1,,,,,,,,
BE,Parti politique européen,,,1,,,,,,,,
BE,Services du Premier Ministre,,,1,,,,,,,,
BE,Société en commandite par actions à finalité sociale,,,1,,,,,,,,
BE,Syndicat,,,1,,,,,,,,
BG,Едноличен търговец,bg,Sole Trader,,BG TR,1,ET,,,,,
BG,Събирателно дружество,bg,General Partnership,,BG TR,2,SD,,,,,
BG,Командитно дружество,bg,Limited Partnership,,BG TR,3,KD,,,,,
BG,Дружество с ограничена отговорност,bg,Limited Liability Company,,BG TR,4,OOD,,,,,
BG,Акционерно дружество,bg,Joint-Stock Company,,BG TR,5,AD,,,,,
BG,Командитно дружество с акции,bg,Limited Partnership by shares,,BG TR,6,KDA,,,,,
BG,Кооперация,bg,Cooperative,,BG TR,7,K,,,,,
BG,Клон на чуждестранен търговец,bg,Branch of a Foreign Trader,,BG TR,8,KCHT,,,,,
BG,Търговец публично предприятие,bg,State Owned Enterprise,,BG TR,9,TPP,,,,,
BG,Еднолично Дружество с ограничена отговорност,bg,Single Limited Liability Company,,BG TR,10,EOOD,,,,,
BG,Еднолично Акционерно дружество,bg,Single Joint-Stock Company,,BG TR,11,EAD,,,,,
BG,Акционерно дружество със специално инвестиционна цел,bg,Joint-Stock Company with special investment purpose,,BG TR,12,IAD,,,,,
BG,Търговец публично предприятие -държавно,bg,State Owned Enterprise - National,,BG TR,13,TPPD,,,,,
BG,Търговец публично предприятие -общинско,bg,State Owned Enterprise - Municipal,,BG TR,14,TPPO,,,,,
BG,Еднолично Акционерно дружество със специално инвестиционна цел,bg,Single Joint-Stock Company with special investment purpose,,BG TR,15,IEAD,,,,,
BG,Европейско обединение по икономически интереси ЕОИИ,bg,European Economic Interest Grouping (EEIG),,BG TR,16,EUIE,,,,,
BG,Поделение на ЕОИИ,bg,Division of European Economic Interest Grouping (EEIG),,BG TR,17,DEUIE,,,,,
BG,Европейско дружество,bg,European Company,,BG TR,18,ED,,,,,
BG,Европейско кооперативно дружество,bg,European Cooperative Company,,BG TR,19,EKD,,,,,
BG,Европейско кооперативно дружество с ограничена отговорност,bg,European Limited Cooperative Company,,BG TR,20,LEKD,,,,,
BG,Дружество регистрирано в юрисдикция с преференциален данъчен режим,bg,Company registered in a jurisdiction with preferential tax regime,,BG TR,,CHD,,,,,
BG,Чуждестранно дружество - физическо лице,bg,Foreign sole trader,,BG TR,,CHDF,,,,,
BG,Чуждестранно дружество - юридическо лице,bg,Foreign trader,,BG TR,,CHDU,,,,,
BH,Individual Establishment,,,59951,,,,,,,,
BH,With Limited Liability Company,,,5376,,,,,,,,
BH,Partnership Company,,,1645,,,,,,,,
BH,SINGLE PERSON COMPANY,,,1120,,,,,,,,
BH,Closed Joint Stock Company,,,1098,,,,,,,,
BH,Foreign Branches Company,,,573,,,,,,,,
BH,Simple Comandite Company,,,281,,,,,,,,
BH,Public Joint Stock Company,,,216,,,,,,,,
BH,Exempt Closed Joint Stock Company Resident,,,181,,,,,,,,
BH,With Limited Liability Company -(100% Foreign),,,61,,,,,,,,
BH,Exempt Closed Joint Stock Company (Non-Resident),,,41,,,,,,,,
BH,Specialized Partnership Company,,,16,,,,,,,,
BH,Closed joint Stock Co. (Foreign Capital Co.),,,8,,,,,,,,
BH,With Limited Liability Company -(Joint Venture),,,4,,,,,,,,
BH,Exempt Public Joint Stock Company,,,2,,,,,,,,
BH,Single Person Company,,,2,,,,,,,,
BH,Commandite Company By Shares,,,1,,,,,,,,
BY,Предприниматель,,Entrepreneur,1000611,,,,,,,,
CH,Aktiengesellschaft,,,380953,,,,,,,,
CH,Einzelunternehmen,,,360062,,,,,,,,
CH,Gesellschaft mit beschränkter Haftung,,,255542,,,,,,,,
CH,Stiftung,,,34206,,,,,,,,
CH,Kollektivgesellschaft,,,32037,,,,,,,,
CH,Schweizerische Zweigniederlassung,,,19165,,,,,,,,
CH,Genossenschaft,,,17554,,,,,,,,
CH,Verein,,,12869,,,,,,,,
CH,Kommanditaktiengesellschaft,,,7710,,,,,,,,
CH,Ausländische Zweigniederlassung,,,4572,,,,,,,,
CH,Kommanditgesellschaft,,,4270,,,,,,,,
CH,Besondere Rechtsformen,,,396,,,,,,,,
CH,Institut des öffentlichen Rechts,,,324,,,,,,,,
CH,Gemeinderschaft,,,10,,,,,,,,
CH,Nichtkaufmännische Prokura,,,4,,,,,,,,
CY,Limited Company,,,370666,,,,,,,,
CY,Partnership,,,9228,,,,,,,,
CY,Overseas Company,,,2984,,,,,,,,
CY,Partnership (BN),,,225,,,,,,,,
DK,Enkeltmandsvirksomhed,,,705001,,,,,,,,
DK,Anpartsselskab,,,415771,,,,,,,,
DK,Frivillig forening,,,98513,,,,,,,,
DK,Interessentskab,,,88734,,,,,,,,
DK,Aktieselskab,,,81841,,,,,,,,
DK,Forening,,,69551,,,,,,,,
DK,Iværksætterselskab,,,29578,,,,,,,,
DK,Personligt ejet Mindre Virksomhed,,,24560,,,,,,,,
DK,Anden udenlandsk virksomhed,,,16575,,,,,,,,
DK,Fonde og andre selvejende institutioner,,,12977,,,,,,,,
DK,Kommanditselskab,,,8121,,,,,,,,
DK,Enhed under oprettelse i Erhvervsstyrelsen,,,7750,,,,,,,,
DK,Øvrige virksomhedsformer,,,7320,,,,,,,,
DK,Folkekirkelige Institutioner,,,3209,,,,,,,,
DK,Selskab med begrænset ansvar,,,3140,,,,,,,,
DK,"Filial af udenlandsk aktieselskab, kommanditakties",,,2220,,,,,,,,
DK,Erhvervsdrivende fond,,,2031,,,,,,,,
DK,Andelsselskab (-forening),,,1723,,,,,,,,
DK,Filial af udenlandsk anpartsselskab eller selskab,,,1489,,,,,,,,
DK,Uoplyst virksomhedsform,,,1330,,,,,,,,
DK,Andelsselskab (-forening) med begrænset ansvar,,,1269,,,,,,,,
DK,Kommanditaktieselskab/Partnerselskab,,,1183,,,,,,,,
DK,Dødsbo,,,1168,,,,,,,,
DK,Forening med begrænset ansvar,,,741,,,,,,,,
DK,Partrederi,,,638,,,,,,,,
DK,Primærkommune,,,345,,,,,,,,
DK,Statslig administrativ enhed,,,338,,,,,,,,
DK,Særlig finansiel virksomhed,,,231,,,,,,,,
DK,Forening eller selskab med begrænset ansvar,,,129,,,,,,,,
DK,Amtskommune,,,15,,,,,,,,
DK,Filial af udenlandsk virksomhed med begrænset ansv,,,14,,,,,,,,
DK,Europæisk Økonomisk Firmagruppe,,,11,,,,,,,,
DK,SE-selskab,,,11,,,,,,,,
DK,Selvstændig offentlig virksomhed,,,8,,,,,,,,
DK,Region,,,5,,,,,,,,
DK,Fast forretningssted af Europæisk økonomisk Firmag,,,2,,,,,,,,
DK,Filial af SE-selskab,,,1,,,,,,,,
DK,Medarbejderinvesteringsselskab,,,1,,,,,,,,
ES,Sociedad Limitada,,,1513663,,,,,,,,
ES,Sociedad Anónima,,,201384,,,,,,,,
ES,Sociedad Limitada Laboral,,,20428,,,,,,,,
ES,Sociedad Limitada Nueva Empresa,,,6269,,,,,,,,
ES,Sociedad de Responsabilidad Limitada,,,4249,,,,,,,,
ES,Sociedad Anónima Laboral,,,3432,,,,,,,,
ES,Agrupación de Interés Económico,,,1484,,,,,,,,
ES,Unión Temporal de Empresas,,,1035,,,,,,,,
ES,Sociedad Cooperativa,,,984,,,,,,,,
ES,Sociedad Cooperativa Limitada,,,983,,,,,,,,
ES,Sociedad Cooperativa Andaluza,,,582,,,,,,,,
ES,Sociedad Civil,,,526,,,,,,,,
ES,Sociedad Regular Colectiva,,,453,,,,,,,,
ES,Sociedad Agraria de Transformación,,,327,,,,,,,,
ES,Comunidad de Bienes,,,205,,,,,,,,
ES,Sociedad Limitada Unipersonal,,,124,,,,,,,,
ES,Agrupación Europea de Interés Económico,,,100,,,,,,,,
ES,Sociedad Civil Particular/Privada,,,62,,,,,,,,
ES,Sociedad Anónima Deportiva,,,54,,,,,,,,
ES,Sociedad en Comandita,,,47,,,,,,,,
ES,Sociedad Anónima Española,,,22,,,,,,,,
ES,Sociedad Anónima Unipersonal,,,6,,,,,,,,
ES,Sociedad de Garantía Recíproca,,,5,,,,,,,,
FI,Osakeyhtiö,,,425903,,,,,,,,
FI,Yksityinen elinkeinonharjoittaja,,,175030,,,,,,,,
FI,Asunto-osakeyhtiö,,,92023,,,,,,,,
FI,Kommandiittiyhtiö,,,22307,,,,,,,,
FI,Aatteellinen yhdistys,,,20987,,,,,,,,
FI,Ulkomainen yhteisö,,,11478,,,,,,,,
FI,Avoin yhtiö,,,10433,,,,,,,,
FI,Muut oikeushenkilöt,,,9601,,,,,,,,
FI,Verotusyhtymä,,,9098,,,,,,,,
FI,Kuolinpesä,,,7852,,,,,,,,
FI,Osuuskunta,,,6455,,,,,,,,
FI,Konkurssipesä,,,3437,,,,,,,,
FI,Yhteisetuudet,,,2037,,,,,,,,
FI,,,,1808,,,,,,,,
FI,Sivuliike,,,1443,,,,,,,,
FI,Muu yhdistys,,,1243,,,,,,,,
FI,Säätiö,,,1087,,,,,,,,
