Jurisd,Local name,Lang,English Name,Count,Register,Notation,Code,Parent code,,,,
FR,Association foncière urbaine,,,255,,,,,,,,
FR,Groupement européen d'intérêt économique (GEIE),,,248,,,,,,,,
FR,Société civile d'intérêt collectif agricole (SICA),,,246,,,,,,,,
FR,Société en participation avec personne morale,,,241,,,,,,,,
FR,Groupement de coopération sanitaire à gestion privée,,,239,,,,,,,,
FR,Société civile de placement collectif immobilier (SCPI),,,226,,,,,,,,
FR,Communauté d'agglomération,,,223,,,,,,,,
FR,Société à responsabilité limitée de presse,,,222,,,,,,,,
FR,Institution de retraite complémentaire,,,217,,,,,,,,
FR,Service central d'un ministère,,,209,,,,,,,,
FR,Commission syndicale pour la gestion des biens indivis des communes,,,204,,,,,,,,
FR,(Autre) Établissement public administratif local,,,201,,,,,,,,
FR,Societe anonyme a conseil d'administration,,,188,,,,,,,,
FR,Établissement public national à caractère administratif,,,185,,,,,,,,
FR,Établissement public national à caractère scientifique culturel et professionnel,,,182,,,,,,,,
FR,SCP d'avocats aux conseils,,,160,,,,,,,,
FR,Société coopérative à responsabilité limitée à capital variable,,,156,,,,,,,,
FR,Société d'assurance à forme mutuelle,,,154,,,,,,,,
FR,SCP de géomètres experts,,,149,,,,,,,,
FR,Société européenne,,,146,,,,,,,,
FR,Société d'exercice libéral à forme anonyme à conseil d'administration,,,143,,,,,,,,
FR,Caisse (fédérale) de crédit mutuel,,,139,,,,,,,,
FR,Société par actions simplifiée  à associé unique et capital variable,,,137,,,,,,,,
FR,Société d'investissement à capital variable,,,134,,,,,,,,
FR,SA nationale à conseil d'administration,,,133,,,,,,,,
FR,Société coopérative ouvrière de production à responsabilité limitée,,,130,,,,,,,,
FR,Societe a responsabilite limitee  a associe unique et capital variable,,,117,,,,,,,,
FR,Régie d'une collectivité locale à caractère administratif,,,113,,,,,,,,
FR,Régime spécial de Sécurité Sociale,,,111,,,,,,,,
FR,SA de HLM à conseil d'administration,,,111,,,,,,,,
FR,SA coopérative artisanale à conseil d'administration,,,110,,,,,,,,
FR,SCP de directeurs de laboratoire d'analyse médicale,,,110,,,,,,,,
FR,SCP de commissaires-priseurs,,,107,,,,,,,,
FR,Représentation ou agence commerciale d'état ou organisme public étranger immatriculé au RCS,,,104,,,,,,,,
FR,SCP d'avoués d'appel,,,104,,,,,,,,
FR,Autre établissement public national d'enseignement,,,100,,,,,,,,
FR,SA nationale à directoire,,,100,,,,,,,,
FR,SA d'intérêt collectif agricole (SICA) à conseil d'administration,,,97,,,,,,,,
FR,Département,,,96,,,,,,,,
FR,Pôle d'équilibre territorial (PETR),,,96,,,,,,,,
FR,SARL d'intérêt collectif agricole (SICA),,,96,,,,,,,,
FR,Société anonyme d'un Etat membre de la CE ou partie à l'accord sur l'Espace économique européen,,,96,,,,,,,,
FR,Societe par actions simplifiee a capital variable,,,94,,,,,,,,
FR,Service départemental d'incendie et de secours (SDIS),,,92,,,,,,,,
FR,Autre établissement public national administratif à compétence territoriale limitée,,,90,,,,,,,,
FR,Autre organisme mutualiste,,,88,,,,,,,,
FR,Mutualité sociale agricole,,,85,,,,,,,,
FR,Société à responsabilité limitée d'un Etat non membre de la CE ou non partie à l'accord sur l'Espace économique européen,,,85,,,,,,,,
FR,Organisation internationale,,,82,,,,,,,,
FR,Service déconcentré à compétence nationale d'un ministère (hors Défense),,,82,,,,,,,,
FR,SA coopérative de production de HLM à conseil d'administration,,,79,,,,,,,,
FR,Societe en commandite simple,,,79,,,,,,,,
FR,Centre technique industriel ou comité professionnel du développement économique,,,72,,,,,,,,
FR,SCP de conseils juridiques,,,71,,,,,,,,
FR,SA coopérative de commerçants-détaillants à conseil d'administration,,,70,,,,,,,,
FR,Société coopérative à forme anonyme à capital variable,,,70,,,,,,,,
FR,SA coopérative (d'intérêt) maritime à conseil d'administration,,,69,,,,,,,,
FR,SA coopérative de consommation à conseil d'administration,,,68,,,,,,,,
FR,Société de caution mutuelle,,,67,,,,,,,,
FR,SCP de greffiers de tribunal de commerce,,,66,,,,,,,,
FR,Societe par actions simplifiee  a associe unique et capital variable,,,66,,,,,,,,
FR,Société anonyme d'économie mixte,,,66,,,,,,,,
FR,Société coopérative ouvrière de production à responsabilité limitée à capital variable,,,65,,,,,,,,
FR,Société étrangère immatriculée au RCS,,,65,,,,,,,,
FR,Établissement public national à caractère industriel ou commercial doté d'un comptable public,,,65,,,,,,,,
FR,Société d'investissement à capital variable (SICAV) à directoire,,,64,,,,,,,,
FR,Syndicat mixte communal,,,64,,,,,,,,
FR,Société coopérative à responsabilité limitée,,,63,,,,,,,,
FR,Autre SA coopérative à directoire,,,62,,,,,,,,
FR,Établissement public local culturel,,,61,,,,,,,,
FR,Société d'exercice libéral en commandite par actions,,,59,,,,,,,,
FR,Société coopérative de production à responsabilité limitée à capital variable,,,56,,,,,,,,
FR,SARL d'attribution,,,55,,,,,,,,
FR,Societe a responsabilite limitee d'un Etat membre de la CE ou partie a l'accord sur l'Espace economique europeen,,,55,,,,,,,,
FR,Autre personne morale de droit administratif,,,53,,,,,,,,
FR,Société anonyme d'un Etat non membre de la CE ou non partie à l'accord sur l'Esp,,,51,,,,,,,,
FR,Institution interdépartementale ou entente,,,48,,,,,,,,
FR,Societe anonyme a directoire et conseil de surveillance,,,48,,,,,,,,
FR,SCP de commissaires aux comptes,,,47,,,,,,,,
FR,Autorité administrative indépendante,,,46,,,,,,,,
FR,Ministère,,,46,,,,,,,,
FR,Société civile coopérative entre médecins,,,44,,,,,,,,
FR,Société d'exercice libéral à forme anonyme à directoire,,,44,,,,,,,,
FR,Autre personne de droit privé inscrite au registre du commerce et des sociétés,,,42,,,,,,,,
FR,Société coopérative à forme anonyme,,,42,,,,,,,,
FR,SA d'économie mixte à directoire,,,39,,,,,,,,
FR,Autre syndicat mixte,,,33,,,,,,,,
FR,Régime d'assurance chômage,,,33,,,,,,,,
FR,SARL coopérative de transport,,,31,,,,,,,,
FR,Societe cooperative a responsabilite limitee a capital variable,,,31,,,,,,,,
FR,Societe cooperative ouvriere de production a responsabilite limitee,,,31,,,,,,,,
FR,Société coopérative artisanale à responsabilité limitée,,,29,,,,,,,,
FR,Société coopérative de production à responsabilité limitée,,,27,,,,,,,,
FR,Société coopérative de banque populaire,,,25,,,,,,,,
FR,SA d'aménagement foncier et d'équipement rural (SAFER) à conseil d'administration,,,24,,,,,,,,
FR,Société de placement à prépondérance immobilière à capital variable,,,24,,,,,,,,
FR,SARL union de sociétés coopératives,,,23,,,,,,,,
FR,Établissement public national à caractère industriel ou commercial non doté d'un comptable public,,,23,,,,,,,,
FR,Etablissement public à caractère industriel et commercial,,,22,,,,,,,,
FR,Societe anonyme d'economie mixte,,,22,,,,,,,,
FR,Societe cooperative a forme anonyme a capital variable,,,22,,,,,,,,
FR,Société coopérative artisanale à responsabilité limitée et capital variable,,,22,,,,,,,,
FR,Societe d'investissement a capital variable,,,20,,,,,,,,
FR,SA d'intérêt collectif agricole (SICA),,,19,,,,,,,,
FR,SA de HLM à directoire,,,19,,,,,,,,
FR,Société civile coopérative de consommation,,,19,,,,,,,,
FR,Caisse de crédit municipal,,,18,,,,,,,,
FR,SARL coopérative de consommation,,,17,,,,,,,,
FR,Société civile coopérative d'intérêt maritime,,,16,,,,,,,,
FR,Societe anonyme d'un Etat membre de la CE ou partie a l'accord sur l'Espace economique europeen,,,15,,,,,,,,
FR,Société en nom collectif coopérative,,,15,,,,,,,,
FR,Société à responsabilité limitée de presse à associé unique,,,15,,,,,,,,
FR,Communauté urbaine,,,14,,,,,,,,
FR,Métropole,,,14,,,,,,,,
FR,Pôle Métropolitain,,,14,,,,,,,,
FR,Societe a responsabilite limitee d'un Etat non membre de la CE ou non partie a l'accord sur l'Espace economique europeen,,,14,,,,,,,,
FR,Societe cooperative ouvriere de production a responsabilite limitee a capital variable,,,14,,,,,,,,
FR,Societe en commandite par actions,,,14,,,,,,,,
FR,Societe etrangere immatriculee au RCS,,,14,,,,,,,,
FR,Société coopérative d'intérêt collectif à responsabilité limitée,,,14,,,,,,,,
FR,Société coopérative ouvrière de production à forme anonyme,,,14,,,,,,,,
FR,Région,,,13,,,,,,,,
FR,Societe cooperative de production a responsabilite limitee a capital variable,,,13,,,,,,,,
FR,Société coopérative de production à forme anonyme et capital variable,,,12,,,,,,,,
FR,Autre régime de prévoyance sociale,,,11,,,,,,,,
FR,SA coopérative de consommation à directoire,,,11,,,,,,,,
FR,SA coopérative ouvrière de production et de crédit (SCOP) à directoire,,,11,,,,,,,,
FR,SA union de sociétés coopératives à conseil d'administration,,,11,,,,,,,,
FR,Societe cooperative a forme anonyme,,,11,,,,,,,,
FR,Societe cooperative a responsabilite limitee,,,11,,,,,,,,
FR,Institution de prévoyance,,,10,,,,,,,,
FR,Régime vieillesse ne dépendant pas du régime général de la Sécurité Sociale,,,10,,,,,,,,
FR,SA immobilière pour le commerce et l'industrie (SICOMI) à conseil d'administration,,,10,,,,,,,,
FR,Societe cooperative de credit a capital variable et responsabilite statutairemen,,,10,,,,,,,,
FR,Société coopérative maritime à forme anonyme,,,10,,,,,,,,
FR,Etablissement public a caractere industriel et commercial,,,9,,,,,,,,
FR,SA coopérative de construction à conseil d'administration,,,9,,,,,,,,
FR,SARL d'économie mixte,,,9,,,,,,,,
FR,Société anonyme d'HLM,,,9,,,,,,,,
FR,Société coopérative d'intérêt collectif à responsabilité limitée à capital variable,,,9,,,,,,,,
FR,Société d'intérêt collectif agricole à forme anonyme,,,9,,,,,,,,
FR,Société d'intérêt collectif agricole à responsabilité limitée,,,9,,,,,,,,
FR,Société en commandite par actions d'un Etat membre de la CE ou partie à l'accord sur l'Espace économique européen,,,9,,,,,,,,
FR,Autorité constitutionnelle,,,8,,,,,,,,
FR,Caisse d'Épargne et de Prévoyance,,,8,,,,,,,,
FR,SA coopérative de transport à conseil d'administration,,,8,,,,,,,,
FR,SA union de sociétés coopératives à directoire,,,8,,,,,,,,
FR,SA à participation ouvrière à conseil d'administration,,,8,,,,,,,,
FR,Societe anonyme d'un Etat non membre de la CE ou non partie a l'accord sur l'Esp,,,8,,,,,,,,
FR,Societe europeenne,,,8,,,,,,,,
FR,Société anonyme sportive professionnelle,,,8,,,,,,,,
FR,Caisse de crédit maritime mutuel,,,7,,,,,,,,
FR,Régime maladie des non-salariés non agricoles,,,7,,,,,,,,
FR,SARL immobilière de gestion,,,7,,,,,,,,
FR,Societe cooperative artisanale a responsabilite limitee,,,7,,,,,,,,
FR,Société civile immobilière d' accession progressive à la propriété,,,7,,,,,,,,
FR,Société coopérative de consommation à forme anonyme,,,7,,,,,,,,
FR,Société d'économie mixte,,,7,,,,,,,,
FR,Caisse d'épargne et de prévoyance à forme coopérative,,,6,,,,,,,,
FR,Office public d'habitation à loyer modéré (OPHLM),,,6,,,,,,,,
FR,SA coopérative artisanale à directoire,,,6,,,,,,,,
FR,Safer anonyme à directoire,,,6,,,,,,,,
FR,Societe d'exercice liberal a responsabilite limitee,,,6,,,,,,,,
FR,Societe en nom collectif cooperative,,,6,,,,,,,,
FR,Société coopérative de commerçants détaillants à forme anonyme,,,6,,,,,,,,
FR,Société de participations financières de professions libérales à responsabilité limitée,,,6,,,,,,,,
FR,Société à responsabilité limitée nationale,,,6,,,,,,,,
FR,SA d'attribution à conseil d'administration,,,5,,,,,,,,
FR,SARL coopérative d'intérêt maritime,,,5,,,,,,,,
FR,Societe cooperative ouvriere de production a forme anonyme,,,5,,,,,,,,
FR,Societe de caution mutuelle,,,5,,,,,,,,
FR,Société coopérative maritime à forme anonyme et capital variable,,,5,,,,,,,,
FR,Société coopérative ouvrière de production à forme anonyme et capital variable,,,5,,,,,,,,
FR,Société d'exercice libéral par actions simplifiée,,,5,,,,,,,,
FR,Société en commandite par actions à capital variable,,,5,,,,,,,,
FR,SOCIETE COOPERATIVE OUVRIERE DE PRODUCTION,,,4,,,,,,,,
FR,Société coopérative d'intérêt collectif à forme anonyme à capital variable,,,4,,,,,,,,
FR,Société coopérative de travailleurs à forme anonyme,,,4,,,,,,,,
FR,Société d'exercice libéral à responsabilité limitée à associé unique,,,4,,,,,,,,
FR,Société d'intérêt collectif agricole,,,4,,,,,,,,
FR,Société d'intérêt collectif agricole à forme anonyme et conseil d'administration,,,4,,,,,,,,
FR,Société de placement à prépondérance immobilière à capital variable sous la forme SAS,,,4,,,,,,,,
FR,Société en nom collectif à capital variable,,,4,,,,,,,,
FR,Société publique locale,,,4,,,,,,,,
FR,Caisse de crédit mutuel,,,3,,,,,,,,
FR,SA coopérative d'intérêt maritime à directoire,,,3,,,,,,,,
FR,SA coopérative de commerçants-détaillants à directoire,,,3,,,,,,,,
FR,SA immobilière d'investissement à conseil d'administration,,,3,,,,,,,,
FR,Societe anonyme sportive professionnelle,,,3,,,,,,,,
FR,Societe cooperative artisanale a responsabilite limitee et capital variable,,,3,,,,,,,,
FR,Societe cooperative de production a responsabilite limitee,,,3,,,,,,,,
FR,Societe cooperative exploitee sous forme de SARL,,,3,,,,,,,,
FR,Societe cooperative maritime a forme anonyme et capital variable,,,3,,,,,,,,
FR,Societe d'exercice liberal a responsabilite limitee a associe unique,,,3,,,,,,,,
FR,Societe de participations financieres de professions liberales a responsabilite limitee,,,3,,,,,,,,
FR,Societe de placement a preponderance immobiliere a capital variable sous la forme SAS,,,3,,,,,,,,
FR,Société anonyme d'économie mixte à conseil d'administration,,,3,,,,,,,,
FR,Société anonyme nationale à conseil d'administration,,,3,,,,,,,,
FR,Société coopérative artisanale à forme anonyme,,,3,,,,,,,,
FR,Société coopérative d'intérêt collectif à forme anonyme,,,3,,,,,,,,
FR,Société coopérative de consommation à responsabilité limitée,,,3,,,,,,,,
FR,Société coopérative de production de HLM anonyme à directoire,,,3,,,,,,,,
FR,Société d'exercice libéral à forme anonyme,,,3,,,,,,,,
FR,Société d'intérêt collectif agricole par actions simplifiée,,,3,,,,,,,,
FR,Société de participations financières de profession libérale société en commandite par actions,,,3,,,,,,,,
FR,Société en commandite par actions coopérative,,,3,,,,,,,,
FR,Société en commandite simple coopérative,,,3,,,,,,,,
FR,Société par actions d'un Etat membre de la CE ou partie à l'accord sur l'Espace économique européen,,,3,,,,,,,,
FR,Union de coopératives agricoles,,,3,,,,,,,,
FR,(Autre) Collectivité territoriale,,,2,,,,,,,,
FR,Association,,,2,,,,,,,,
FR,Exploitation agricole a responsabilite limitee,,,2,,,,,,,,
FR,Groupement de droit privé non doté de la personnalité morale,,,2,,,,,,,,
FR,Institution de retraite supplémentaire,,,2,,,,,,,,
FR,Institution interrégionale ou entente,,,2,,,,,,,,
FR,SA cooperative a conseil d'administration,,,2,,,,,,,,
FR,SA coopérative de transport à directoire,,,2,,,,,,,,
FR,SA à participation ouvrière à directoire,,,2,,,,,,,,
FR,SARL coopérative de construction,,,2,,,,,,,,
FR,SCOP à conseil d'administration,,,2,,,,,,,,
FR,SOCIETE COOPERATIVE,,,2,,,,,,,,
FR,Societe a responsabilite limitee nationale,,,2,,,,,,,,
FR,Societe anonyme d'economie mixte a conseil d'administration,,,2,,,,,,,,
FR,Societe civile d'interet collectif agricole,,,2,,,,,,,,
FR,Societe cooperative d'interet collectif a forme anonyme,,,2,,,,,,,,
FR,Societe cooperative d'interet collectif a forme anonyme a capital variable,,,2,,,,,,,,
FR,Societe cooperative d'interet collectif a forme anonyme et conseil d'administration,,,2,,,,,,,,
FR,Societe cooperative d'interet collectif a responsabilite limitee,,,2,,,,,,,,
FR,Societe d'exercice liberal par actions simplifiee,,,2,,,,,,,,
FR,Societe d'interet collectif agricole a forme anonyme,,,2,,,,,,,,
FR,Societe de participations financieres de professions liberales a forme de S.A.S.,,,2,,,,,,,,
FR,Societe de placement a preponderance immobiliere a capital variable,,,2,,,,,,,,
FR,Societe en commandite par actions a capital variable,,,2,,,,,,,,
FR,Societe en nom collectif a capital variable,,,2,,,,,,,,
FR,Societe par actions d'un Etat membre de la CE ou partie a l'accord sur l'Espace economique europeen,,,2,,,,,,,,
FR,Société anonyme d'HLM à conseil d'administration,,,2,,,,,,,,
FR,Société anonyme mixte d'intérêt agricole (SMIA) à conseil d'administration,,,2,,,,,,,,
FR,Société civile,,,2,,,,,,,,
FR,Société coopérative d'intérêt collectif agricole à forme anonyme à capital varia,,,2,,,,,,,,
FR,Société coopérative d'intérêt collectif à forme anonyme et conseil d'administration,,,2,,,,,,,,
FR,Société coopérative de commerçants détaillants à forme anonyme et conseil d'administration,,,2,,,,,,,,
FR,Société coopérative de crédit,,,2,,,,,,,,
FR,Société coopérative exploitée sous forme de SARL,,,2,,,,,,,,
FR,Société coopérative par actions simplifiée à capital variable,,,2,,,,,,,,
FR,Société coopérative à capital et personnel variables,,,2,,,,,,,,
FR,Société de participations financières de profession libérale SA à conseil d'administration,,,2,,,,,,,,
FR,Société de participations financières de professions libérales à forme de S.A.S.,,,2,,,,,,,,
FR,Union d'économie sociale - Société coopérative à responsabilité limitée,,,2,,,,,,,,
FR,Union de coopératives,,,2,,,,,,,,
FR,Établissement public national ayant fonction d'administration centrale,,,2,,,,,,,,
FR,Affaire Personnelle agent commercial,,,1,,,,,,,,
FR,Groupement d'intérêt économique,,,1,,,,,,,,
FR,Groupement de droit prive non dote de la personnalite morale,,,1,,,,,,,,
FR,Institution Banque de France,,,1,,,,,,,,
FR,Personne morale de droit privé,,,1,,,,,,,,
FR,Représentation commerciale d'un établissement public étranger,,,1,,,,,,,,
FR,Représentation d'Etat ou organisme public étranger immatriculé,,,1,,,,,,,,
FR,SA coopérative de commerçants - détaillants à conseil d'administration,,,1,,,,,,,,
FR,SA coopérative à conseil d'administration,,,1,,,,,,,,
FR,SA d'attribution à directoire,,,1,,,,,,,,
FR,SA de crédit immobilier à conseil d'administration,,,1,,,,,,,,
FR,SA de crédit immobilier à directoire,,,1,,,,,,,,
FR,SA immobilière pour le commerce et l'industrie (SICOMI) à directoire,,,1,,,,,,,,
FR,SARL immobilière pour le commerce et l'industrie (SICOMI),,,1,,,,,,,,
FR,SARL mixte d'intérêt agricole (SMIA),,,1,,,,,,,,
FR,SICAV à conseil d'administration,,,1,,,,,,,,
FR,SOCIETE COOPERATIVE A CAPITAL VARIABLE,,,1,,,,,,,,
FR,SOCIETE COOPERATIVE DE PRODUCTION,,,1,,,,,,,,
FR,Societe a responsabilite limitee de presse a associe unique,,,1,,,,,,,,
FR,Societe a responsabilite limitee de presse a capital variable,,,1,,,,,,,,
FR,Societe anonyme a objet sportif,,,1,,,,,,,,
FR,Societe anonyme a participation ouvriere,,,1,,,,,,,,
FR,Societe civile,,,1,,,,,,,,
FR,Societe civile cooperative,,,1,,,,,,,,
FR,Societe civile d'exploitation agricole,,,1,,,,,,,,
FR,Societe civile immobiliere,,,1,,,,,,,,
FR,Societe civile professionnelle d'architectes,,,1,,,,,,,,
FR,Societe cooperative a capital et personnel variables,,,1,,,,,,,,
FR,Societe cooperative a responsabilite limitee a capital et personnel variables,,,1,,,,,,,,
FR,Societe cooperative agricole,,,1,,,,,,,,
FR,Societe cooperative artisanale a forme anonyme,,,1,,,,,,,,
FR,Societe cooperative d'interet collectif a forme anonyme  directoire et conseil de surveillance,,,1,,,,,,,,
FR,Societe cooperative d'interet collectif a responsabilite limitee a capital variable,,,1,,,,,,,,
FR,Societe cooperative de consommation a forme anonyme,,,1,,,,,,,,
FR,Societe cooperative de production a forme anonyme et capital variable,,,1,,,,,,,,
FR,Societe cooperative de travailleurs a forme anonyme,,,1,,,,,,,,
FR,Societe cooperative de travailleurs a responsabilite limitee,,,1,,,,,,,,
FR,Societe cooperative europeenne,,,1,,,,,,,,
FR,Societe cooperative maritime a forme anonyme,,,1,,,,,,,,
FR,Societe cooperative ouvriere de production a forme anonyme et capital variable,,,1,,,,,,,,
FR,Societe d'economie mixte,,,1,,,,,,,,
FR,Societe d'interet collectif agricole a responsabilite limitee,,,1,,,,,,,,
FR,Societe etrangere non immatriculee au RCS,,,1,,,,,,,,
FR,Societe publique locale d'amenagement a forme anonyme,,,1,,,,,,,,
FR,Société anonyme de presse,,,1,,,,,,,,
FR,Société civile agricole,,,1,,,,,,,,
FR,Société civile coopérative à capital variable,,,1,,,,,,,,
FR,Société civile d'intérêt collectif agricole,,,1,,,,,,,,
FR,Société civile immobilière de construction vente,,,1,,,,,,,,
FR,Société civile professionnelle d'architectes,,,1,,,,,,,,
FR,Société coop. d'intérêt collectif agricole à resp. limitée à capital variable,,,1,,,,,,,,
FR,Société coopérative artisanale,,,1,,,,,,,,
FR,Société coopérative artisanale à forme anonyme et capital variable,,,1,,,,,,,,
FR,Société coopérative d'entreprises à forme anonyme,,,1,,,,,,,,
FR,Société coopérative d'entreprises à forme anonyme et capital variable,,,1,,,,,,,,
FR,Société coopérative de banque populaire à forme anonyme,,,1,,,,,,,,
FR,Société coopérative de banque à forme anonyme et capital variable,,,1,,,,,,,,
FR,Société coopérative de consommation à forme anonyme et capital variable,,,1,,,,,,,,
FR,Société coopérative de consommation à forme anonyme et conseil d'administration,,,1,,,,,,,,
FR,Société coopérative de consommation à responsabilité limitée et capital variable,,,1,,,,,,,,
FR,Société coopérative de crédit à capital variable et responsabilité statutairemen,,,1,,,,,,,,
FR,Société coopérative de production d'HLM à forme anonyme,,,1,,,,,,,,
FR,Société coopérative de production d'HLM à forme anonyme et capital variable,,,1,,,,,,,,
FR,Société coopérative et participative à responsabilité limitée,,,1,,,,,,,,
FR,Société d'exercice  libéral en commandite par actions,,,1,,,,,,,,
FR,Société d'investissement à capital fixe,,,1,,,,,,,,
FR,Société d'économie mixte locale à forme anonyme,,,1,,,,,,,,
FR,Société de participations d'expertise comptable,,,1,,,,,,,,
FR,Société de participations financières de profession libérale SA à directoire,,,1,,,,,,,,
FR,Société de placement à prépondérance immobilière,,,1,,,,,,,,
FR,Société en commandite par actions d'un Etat non membre de la CE ou non partie à l'accord sur Espace économique européen,,,1,,,,,,,,
FR,Société en commandite simple à capital variable,,,1,,,,,,,,
FR,Société européenne à actionnaire unique,,,1,,,,,,,,
FR,Société à responsabilité limitée coopérative artisanale,,,1,,,,,,,,
FR,Société à responsabilité limitée de presse à associé unique et capital variable,,,1,,,,,,,,
FR,Société à responsabilité limitée de presse à capital variable,,,1,,,,,,,,
FR,Union d'économie sociale - Société coopérative par actions simplifiée à capital variable,,,1,,,,,,,,
FR,Union d'économie sociale - Société coopérative à responsabilité limitée et capit,,,1,,,,,,,,
FR,Union de societes cooperatives maritimes a forme anonyme,,,1,,,,,,,,
GB,Private Limited Company,,,9010822,,,,,,,,
GB,Private limited by guarantee without share capital,,,147307,,,,,,,,
GB,Limited Liability Partnership,,,124357,,,,,,,,
GB,"Private limited by guarantee without share capital, use of 'Limited' exemption",,,58531,,,,,,,,
GB,Limited Partnership,,,47693,,,,,,,,
GB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",,,26213,,,,,,,,
GB,Other company type,,,24162,,,,,,,,
GB,Public Limited Company,,,22727,,,,,,,,
GB,overseas company,,,15008,,,,,,,,
GB,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",,,12863,,,,,,,,
GB,Industrial and Provident Society,,,10142,,,,,,,,
GB,private unlimited company,,,9700,,,,,,,,
GB,Private Unlimited Company,,,6277,,,,,,,,
GB,Converted/Closed,,,5546,,,,,,,,
GB,Converted / Closed,,,1994,,,,,,,,
GB,Assurance Company,,,927,,,,,,,,
GB,Royal Charter Company,,,855,,,,,,,,
GB,investment company with variable capital,,,568,,,,,,,,
GB,Community Interest Company,,,544,,,,,,,,
GB,Private unlimited company without share capital,,,389,,,,,,,,
GB,European Economic Interest Grouping (EEIG),,,298,,,,,,,,
GB,Old Public Company,,,110,,,,,,,,
GB,European Public Limited-Liability Company (SE),,,105,,,,,,,,
GB,Investment Company with Variable Capital,,,97,,,,,,,,
GB,Private Unlimited,,,48,,,,,,,,
GB,unregistered company,,,46,,,,,,,,
GB,"Private limited company, use of 'Limited' exemption",,,24,,,,,,,,
GB,Northern Ireland Company,,,7,,,,,,,,
GB,Other Company Type,,,5,,,,,,,,
GB,"PRIV LTD SECT. 30 (Private limited company, section 30 of the Companies Act)",,,4,,,,,,,,
GB,Investment Company with Variable Capital(Umbrella),,,1,,,,,,,,
GI,PRIVATE COMPANY LIMITED BY SHARES,,,82186,,,,,,,,
GI,PART X REGISTRATION,,,665,,,,,,,,
GI,UNLIMITED COMPANY HAVING A SHARE CAPITAL,,,401,,,,,,,,
GI,"PRIVATE COMPANY LIMITED BY GUARANTEE, NOT HAVING A SHARE CAPITAL",,,227,,,,,,,,
GI,"PRIVATE COMPANY LIMITED BY GUARANTEE, HAVING A SHARE CAPITAL",,,95,,,,,,,,
GI,PROTECTED CELL COMPANY,,,86,,,,,,,,
GI,PUBLIC COMPANY LIMITED BY SHARES,,,84,,,,,,,,
GI,PROSPECTUS PART XII,,,53,,,,,,,,
GI,PART XIV REGISTRATION (BRANCH),,,15,,,,,,,,
GI,"PRIVATE COMPANY LIMITED BY GUARANTEE, NOT HAVING A SHARE CAPITAL & UNDER SECT 18",,,10,,,,,,,,
GI,"PUBLIC COMPANY LIMITED BY GUARANTEE, HAVING A SHARE CAPITAL",,,2,,,,,,,,
GI,"PUBLIC COMPANY LIMITED BY GUARANTEE, NOT HAVING A SHARE CAPITAL",,,1,,,,,,,,
GL,Enkeltmandsvirksomhed,,,5738,,,,,,,,
GL,Forening/organisation,,,1449,,,,,,,,
GL,Anpartselskab,,,1317,,,,,,,,
GL,Interessentskab,,,567,,,,,,,,
GL,Aktieselskab,,,405,,,,,,,,
GL,Filial af udenlandsk virksomhed,,,258,,,,,,,,
GL,Kommunal enhed,,,82,,,,,,,,
GL,Filial af dansk virksomhed,,,81,,,,,,,,
GL,Selvejende institution,,,60,,,,,,,,
GL,Fond,,,58,,,,,,,,
GL,Andelsselskab/andelsforening,,,56,,,,,,,,
GL,Hjemmestyreenhed,,,50,,,,,,,,
GL,Partsrederi,,,22,,,,,,,,
GL,-,,,14,,,,,,,,
GL,Offentlig virksomhed,,,14,,,,,,,,
GL,Statslig administrativ enhed,,,11,,,,,,,,
GL,Erhversdrivende fond,,,9,,,,,,,,
GL,Selskab med begrænset skattepligt,,,6,,,,,,,,
GL,Kommanditselskab,,,5,,,,,,,,
GL,10 - Enkeltmandsvirksomhed,,,1,,,,,,,,
GL,30 - Interessentskab,,,1,,,,,,,,
GL,520 - Filial af udenlandsk virksomhed,,,1,,,,,,,,
GL,80 - Anpartselskab,,,1,,,,,,,,
GR,ΑΤΟΜΙΚΗ,,Sole Trader,989899,,,,,,,,
GR,Ομόρρυθμη Εταιρεία,,General Partnership Company,181304,,,,,,,,
GR,Εταιρεία Περιορισμένης Ευθύνης,,Limited Liability Company,57525,,,,,,,,
GR,Ανώνυμη Εταιρεία,,Public Limited Company,54864,,,,,,,,
GR,Ετερόρρυθμη Εταιρία,,Limited Partnership Company,53035,,,,,,,,
GR,Ιδιωτική Κεφαλαιουχική Εταιρεία,,Private Company,18301,,,,,,,,
GR,ΛΟΙΠΩΝ ΥΠΟΧΡΕΩΝ,,Other Obligors,3130,,,,,,,,
GR,ΚΟΙΝΩΝΙΑ,,Society,2989,,,,,,,,
GR,Αστική Εταιρεία 784 Α.Κ.,,Civil Society,2054,,,,,,,,
GR,ΣΥΝ.Π.Ε.,,Limited Liability Cooperative Society,990,,,,,,,,
GR,Κοινοπραξία,,Joint Venture,834,,,,,,,,
GR,Συνεταιρισμός,,Partnership,167,,,,,,,,
GR,ΕΝΩΣΗ ΠΡΟΣΩΠΩΝ,,Association,44,,,,,,,,
GR,Ευρωπαϊκός Όμιλος Οικονομικού Σκοπού,,European Economic Interest Grouping,10,,,,,,,,
GR,Ευρωπαϊκή Εταιρία (SE),,European Company (SE),2,,,,,,,,
