LAU2_NAT_CODE,NAME_1,NUTS_3,POP,AREA
NO-0911,Gjerstad,NO041,2519,322140
NO-0912,Vegårshei,NO041,1884,355660
NO-0914,Tvedestrand,NO041,5874,217810
NO-0919,Froland,NO041,4853,644550
NO-0926,Lillesand,NO041,9238,189810
NO-0928,Birkenes,NO041,4503,674120
NO-0929,Åmli,NO041,1836,1130610
NO-0935,Iveland,NO041,1211,261640
NO-0937,Evje og Hornnes,NO041,3327,550260
NO-0938,Bygland,NO041,1242,1312230
NO-0940,Valle,NO041,1326,1264730
NO-0941,Bykle,NO041,919,1467290
NO-1001,Kristiansand,NO042,87446,276780
NO-1002,Mandal,NO042,14400,222470
NO-1003,Farsund,NO042,9392,262380
NO-1004,Flekkefjord,NO042,8910,543440
NO-1014,Vennesla,NO042,12776,384350
NO-1017,Songdalen,NO042,5728,215770
NO-1018,Søgne,NO042,10050,150750
NO-1021,Marnardal,NO042,2178,394820
NO-1026,Åseral,NO042,905,887500
NO-1027,Audnedal,NO042,1613,251030
NO-1029,Lindesnes,NO042,4557,316840
NO-1032,Lyngdal,NO042,7533,390970
NO-1034,Hægebostad,NO042,1597,461580
NO-1037,Kvinesdal,NO042,5629,962840
NO-1046,Sirdal,NO042,1757,1554720
NO-1101,Eigersund,NO043,13778,432460
NO-1102,Sandnes,NO043,62037,304540
NO-1103,Stavanger,NO043,119586,71400
NO-1106,Haugesund,NO043,32956,72700
NO-1111,Sokndal,NO043,3242,295160
NO-1112,Lund,NO043,3112,408510
NO-1114,Bjerkreim,NO043,2539,650430
NO-1119,Hå,NO043,15438,258700
NO-1120,Klepp,NO043,15839,113920
NO-1121,Time,NO043,15459,183430
NO-1122,Gjesdal,NO043,9729,617550
NO-1124,Sola,NO043,21446,69530
NO-1127,Randaberg,NO043,9622,24630
NO-1129,Forsand,NO043,1116,780210
NO-1130,Strand,NO043,10894,218170
NO-1133,Hjelmeland,NO043,2678,1089440
NO-1134,Suldal,NO043,3823,1736190
NO-1135,Sauda,NO043,4734,546340
NO-1141,Finnøy,NO043,2711,104340
NO-1142,Rennesøy,NO043,3761,65300
NO-1144,Kvitsøy,NO043,538,6160
NO-1145,Bokn,NO043,823,47160
NO-1146,Tysvær,NO043,9604,425290
NO-1149,Karmøy,NO043,38926,229500
NO-1151,Utsira,NO043,212,6290
NO-1160,Vindafjord,NO043,8084,620390
NO-1201,Bergen,NO051,252051,465450
NO-1211,Etne,NO051,3852,735420
NO-1216,Sveio,NO051,4825,245740
NO-1219,Bømlo,NO051,10998,246310
NO-1221,Stord,NO051,17092,143550
NO-1222,Fitjar,NO051,2912,142790
NO-1223,Tysnes,NO051,2773,255180
NO-1224,Kvinnherad,NO051,13063,1127870
NO-1227,Jondal,NO051,1047,209940
NO-1228,Odda,NO051,7107,1615950
NO-1231,Ullensvang,NO051,3415,1398850
NO-1232,Eidfjord,NO051,933,1492550
NO-1233,Ulvik,NO051,1107,720730
NO-1234,Granvin,NO051,964,212580
NO-1235,Voss,NO051,13768,1805770
NO-1238,Kvam,NO051,8210,615930
NO-1241,Fusa,NO051,3759,378960
NO-1242,Samnanger,NO051,2396,269140
NO-1243,Os,NO051,16055,139810
NO-1244,Austevoll,NO051,4390,117220
NO-1245,Sund,NO051,5795,99690
NO-1246,Fjell,NO051,21207,148100
NO-1247,Askøy,NO051,23705,100440
NO-1251,Vaksdal,NO051,4106,715650
NO-1252,Modalen,NO051,360,412150
NO-1253,Osterøy,NO051,7305,274600
NO-1256,Meland,NO051,6233,92540
NO-1259,Øygarden,NO051,4168,66520
NO-1260,Radøy,NO051,4794,111830
NO-1263,Lindås,NO051,13778,475920
NO-1264,Austrheim,NO051,2569,57440
NO-1265,Fedje,NO051,596,9320
NO-1266,Masfjorden,NO051,1646,556500
NO-1401,Flora,NO052,11408,692450
NO-1411,Gulen,NO052,2356,597120
NO-1412,Solund,NO052,874,228510
NO-1413,Hyllestad,NO052,1505,259050
NO-1416,Høyanger,NO052,4374,908330
NO-1417,Vik,NO052,2809,832930
NO-1418,Balestrand,NO052,1365,429850
NO-1419,Leikanger,NO052,2179,180020
NO-1420,Sogndal,NO052,6899,745970
NO-1421,Aurland,NO052,1695,1467920
NO-1422,Lærdal,NO052,2169,1342400
NO-1424,Årdal,NO052,5562,976420
NO-1426,Luster,NO052,4870,2706630
NO-1428,Askvoll,NO052,3065,326460
NO-1429,Fjaler,NO052,2849,416670
NO-1430,Gaular,NO052,2748,581970
NO-1431,Jølster,NO052,2929,670830
NO-1432,Førde,NO052,11650,586040
NO-1433,Naustdal,NO052,2668,368690
NO-1438,Bremanger,NO052,3894,832830
NO-1439,Vågsøy,NO052,5998,176380
NO-1441,Selje,NO052,2872,226090
NO-1443,Eid,NO052,5854,469110
NO-1444,Hornindal,NO052,1211,191610
NO-1445,Gloppen,NO052,5687,1027730
NO-1449,Stryn,NO052,6769,1380780
NO-1502,Molde,NO053,24294,362600
NO-1504,Ålesund,NO053,41833,98420
NO-1505,Kristiansund,NO053,22661,461030
NO-1511,Vanylven,NO053,3530,385080
NO-1514,Sande,NO053,2502,93180
NO-1515,Herøy,NO053,8353,119710
NO-1516,Ulstein,NO053,6946,97280
NO-1517,Hareid,NO053,4741,82480
NO-1519,Volda,NO053,8406,547300
NO-1520,Ørsta,NO053,10163,804840
NO-1523,Ørskog,NO053,2119,129460
NO-1524,Norddal,NO053,1761,943520
NO-1525,Stranda,NO053,4543,865980
NO-1526,Stordal,NO053,979,247190
NO-1528,Sykkylven,NO053,7491,337680
NO-1529,Skodje,NO053,3750,120250
NO-1531,Sula,NO053,7626,58650
NO-1532,Giske,NO053,6777,40090
NO-1534,Haram,NO053,8617,260450
NO-1535,Vestnes,NO053,6434,354930
NO-1539,Rauma,NO053,7379,1502140
NO-1543,Nesset,NO053,3061,1046220
NO-1545,Midsund,NO053,1901,94710
NO-1546,Sandøy,NO053,1281,20410
NO-1547,Aukra,NO053,3174,58780
NO-1548,Fræna,NO053,9189,368960
NO-1551,Eide,NO053,3362,152380
NO-1554,Averøy,NO053,5402,175910
NO-1557,Gjemnes,NO053,2636,382180
NO-1560,Tingvoll,NO053,3082,336950
NO-1563,Sunndal,NO053,7357,1713690
NO-1566,Surnadal,NO053,6039,1364780
NO-1567,Rindal,NO053,2045,640670
NO-1571,Halsa,NO053,1671,300840
NO-1573,Smøla,NO053,2137,281850
NO-1576,Aure,NO053,3530,644180
NO-1601,Trondheim,NO061,165191,342240
NO-1612,Hemne,NO061,4234,662370
NO-1613,Snillfjord,NO061,1022,508200
NO-1617,Hitra,NO061,4132,685430
NO-1620,Frøya,NO061,4144,241310
NO-1621,Ørland,NO061,5025,73510
NO-1622,Agdenes,NO061,1758,317650
NO-1624,Rissa,NO061,6366,621460
NO-1627,Bjugn,NO061,4604,383780
NO-1630,Åfjord,NO061,3232,953710
NO-1632,Roan,NO061,1007,376680
NO-1633,Osen,NO061,1041,387090
NO-1634,Oppdal,NO061,6564,2274420
NO-1635,Rennebu,NO061,2594,948110
NO-1636,Meldal,NO061,3871,612500
NO-1638,Orkdal,NO061,11018,594220
NO-1640,Røros,NO061,5620,1956310
NO-1644,Holtålen,NO061,2069,1209320
NO-1648,Midtre Gauldal,NO061,5910,1859760
NO-1653,Melhus,NO061,14457,696060
NO-1657,Skaun,NO061,6326,224240
NO-1662,Klæbu,NO061,5558,186360
NO-1663,Malvik,NO061,12388,168550
NO-1664,Selbu,NO061,4006,1234830
NO-1665,Tydal,NO061,856,1329410
NO-1702,Steinkjer,NO062,20672,1564260
NO-1703,Namsos,NO062,12607,774510
NO-1711,Meråker,NO062,2506,1273610
NO-1714,Stjørdal,NO062,20616,937870
NO-1717,Frosta,NO062,2466,76340
NO-1718,Leksvik,NO062,3484,430220
NO-1719,Levanger,NO062,18355,645350
NO-1721,Verdal,NO062,14094,1547620
NO-1724,Verran,NO062,2948,601560
NO-1725,Namdalseid,NO062,1717,769550
NO-1756,Inderøy,NO062,5836,145820
NO-1736,Snåsa,NO062,2176,2342840
NO-1738,Lierne,NO062,1480,2962030
NO-1739,Røyrvik,NO062,499,1584330
NO-1740,Namsskogan,NO062,916,1416810
NO-1742,Grong,NO062,2377,1136160
NO-1743,Høylandet,NO062,1273,754710
NO-1744,Overhalla,NO062,3507,729290
NO-1748,Fosnes,NO062,687,544860
NO-1749,Flatanger,NO062,1138,460230
NO-1750,Vikna,NO062,4034,318390
NO-1751,Nærøy,NO062,5015,1066350
NO-1755,Leka,NO062,589,110240
NO-1804,Bodø,NO071,46049,1392080
NO-1805,Narvik,NO071,18384,2022620
NO-1811,Bindal,NO071,1631,1264710
NO-1812,Sømna,NO071,2056,193740
NO-1813,Brønnøy,NO071,7535,1041770
NO-1815,Vega,NO071,1295,163370
NO-1816,Vevelstad,NO071,485,538800
NO-1818,Herøy,NO071,1683,64590
NO-1820,Alstahaug,NO071,7207,187170
NO-1822,Leirfjord,NO071,2090,465300
