GDEKT	NUTS_3	LAU1	NAME1	NAME_DE	NAME_FR	NAME_IT
SO	CH023	1101	Bezirk Gäu	Bezirk Gäu	Bezirk Gäu	Bezirk Gäu
SO	CH023	1102	Bezirk Thal	Bezirk Thal	Bezirk Thal	Bezirk Thal
SO	CH023	1103	Bezirk Bucheggberg	Bezirk Bucheggberg	Bezirk Bucheggberg	Bezirk Bucheggberg
SO	CH023	1104	Bezirk Dorneck	Bezirk Dorneck	Bezirk Dorneck	Bezirk Dorneck
SO	CH023	1105	Bezirk Gösgen	Bezirk Gösgen	Bezirk Gösgen	Bezirk Gösgen
SO	CH023	1106	Bezirk Wasseramt	Bezirk Wasseramt	Bezirk Wasseramt	Bezirk Wasseramt
SO	CH023	1107	Bezirk Lebern	Bezirk Lebern	Bezirk Lebern	Bezirk Lebern
SO	CH023	1108	Bezirk Olten	Bezirk Olten	Bezirk Olten	Bezirk Olten
SO	CH023	1109	Bezirk Solothurn	Bezirk Solothurn	Bezirk Soleure	Bezirk Soletta
SO	CH023	1110	Bezirk Thierstein	Bezirk Thierstein	Bezirk Thierstein	Bezirk Thierstein
BS	CH031	1200	Kanton Basel-Stadt	Kanton Basel-Stadt	Kanton Bâle-Stadt	Kanton Basilea-Stadt
BL	CH032	1301	Bezirk Arlesheim	Bezirk Arlesheim	Bezirk Arlesheim	Bezirk Arlesheim
BL	CH032	1302	Bezirk Laufen	Bezirk Laufen	Bezirk Laufon	Bezirk Laufen
BL	CH032	1303	Bezirk Liestal	Bezirk Liestal	Bezirk Liestal	Bezirk Liestal
BL	CH032	1304	Bezirk Sissach	Bezirk Sissach	Bezirk Sissach	Bezirk Sissach
BL	CH032	1305	Bezirk Waldenburg	Bezirk Waldenburg	Bezirk Waldenburg	Bezirk Waldenburg
SH	CH052	1401	Bezirk Oberklettgau	Bezirk Oberklettgau	Bezirk Oberklettgau	Bezirk Oberklettgau
SH	CH052	1402	Bezirk Reiat	Bezirk Reiat	Bezirk Reiat	Bezirk Reiat
SH	CH052	1403	Bezirk Schaffhausen	Bezirk Schaffhausen	Bezirk Schaffhouse	Bezirk Sciaffusa
SH	CH052	1404	Bezirk Schleitheim	Bezirk Schleitheim	Bezirk Schleitheim	Bezirk Schleitheim
SH	CH052	1405	Bezirk Stein	Bezirk Stein	Bezirk Stein	Bezirk Stein
